StationCode,Longitude,Latitude,Survey
72,-121.58057,38.18775,FMWT
73,-121.53937,38.27433,FMWT
305,-122.4086,37.9987,FMWT
306,-122.41488,38.00042,FMWT
307,-122.4192,38.00472,FMWT
308,-122.40438,2,FMWT
309,-122.39387,38.01442,FMWT
310,-122.37355,38.0297,FMWT
311,-122.37743,38.02087,FMWT
314,-122.41167,38.02812,FMWT
315,-122.3936,38.03815,FMWT
321,-122.36103,38.03612,FMWT
322,-122.35078,38.02363,FMWT
323,-122.28281,38.04831,TNS
323,-122.32817,38.02853,FMWT
325,-122.2955,38.05605,FMWT
326,-122.29592,38.04038,FMWT
327,-122.36672,38.04772,FMWT
328,-122.34842,38.06005,FMWT
329,-122.30588,38.06312,FMWT
334,-122.33933,38.07553,FMWT
335,-122.3243,38.0705,FMWT
336,-122.27875,38.06275,FMWT
337,-122.27232,38.0595,FMWT
338,-122.24892,38.06003,FMWT
339,-122.2568,38.0667,FMWT
340,-122.26945,38.10391,TNS
340,-122.26988,38.10508,FMWT
340,-122.26344,38.09928,SKT
341,-122.2802,38.12828,FMWT
401,-122.21245,38.05758,FMWT
403,-122.17192,38.04883,FMWT
404,-122.17887,38.04645,FMWT
405,-122.1505,38.03806,TNS
405,-122.15815,38.03353,FMWT
405,-122.1505,38.03969,SKT
406,-122.15057,38.028,FMWT
407,-122.14515,38.03298,FMWT
408,-122.12897,38.03513,FMWT
409,-122.10637,38.04455,FMWT
410,-122.09647,38.04883,FMWT
411,-122.08331,38.05131,TNS
411,-122.06828,38.06117,FMWT
411,-122.08331,38.05131,SKT
412,-122.06007,38.06462,FMWT
413,-122.0473,38.06595,FMWT
414,-122.11128,38.05213,FMWT
415,-122.10772,38.05678,FMWT
416,-122.09415,38.0702,FMWT
417,-122.083,38.08075,FMWT
418,-122.09781,38.06481,TNS
418,-122.06973,38.09383,FMWT
418,-122.09781,38.06481,SKT
501,-122.02246,38.07338,TNS
501,-122.01955,38.06167,FMWT
501,-122.02246,38.07338,SKT
502,-122.00397,38.05997,FMWT
503,-121.9832,38.06022,FMWT
504,-122.01372,38.06106,TNS
504,-121.9767,38.05945,FMWT
504,-122.01372,38.06106,SKT
505,-121.95597,38.05713,FMWT
507,-121.939,38.05228,FMWT
508,-121.923,38.04556,TNS
508,-121.91492,38.04813,FMWT
508,-121.91881,38.0455,SKT
509,-121.90412,38.04547,FMWT
510,-121.88783,38.04888,FMWT
511,-121.88,38.0513,FMWT
512,-121.87722,38.05638,FMWT
513,-121.864,38.05946,TNS
513,-121.86842,38.0592,FMWT
513,-121.868,38.05831,SKT
515,-122.01472,38.092,FMWT
516,-121.99408,38.07867,FMWT
517,-121.97938,38.07022,FMWT
518,-121.96802,38.06875,FMWT
519,-121.95969,38.07231,TNS
519,-121.94725,38.07378,FMWT
519,-121.95969,38.07231,SKT
520,-121.86931,38.03281,TNS
520,-121.86931,38.03281,SKT
601,-122.0356,38.1031,FMWT
