Date,Year,month,total.hours,Run,total.count,cpue
Jan-15,2015,1,356.0666667,Fall,0,0
Jan-15,2015,1,356.0666667,LateFall,0,0
Jan-15,2015,1,356.0666667,Spring,0,0
Jan-15,2015,1,356.0666667,Winter,0,0
Feb-15,2015,2,358.8166667,Fall,1,0.002786939
Feb-15,2015,2,358.8166667,LateFall,0,0
Feb-15,2015,2,358.8166667,Spring,0,0
Feb-15,2015,2,358.8166667,Winter,0,0
Mar-15,2015,3,307.5,Fall,13,0.042276423
Mar-15,2015,3,307.5,LateFall,1,0.003252033
Mar-15,2015,3,307.5,Spring,0,0
Mar-15,2015,3,307.5,Winter,0,0
Apr-15,2015,4,334.6666667,Fall,14,0.041832669
Apr-15,2015,4,334.6666667,LateFall,1,0.002988048
Apr-15,2015,4,334.6666667,Spring,0,0
Apr-15,2015,4,334.6666667,Winter,0,0
May-15,2015,5,453.05,Fall,4,0.008829048
May-15,2015,5,453.05,LateFall,1,0.002207262
May-15,2015,5,453.05,Spring,0,0
May-15,2015,5,453.05,Winter,0,0
Jun-15,2015,6,395.1166667,Fall,0,0
Jun-15,2015,6,395.1166667,LateFall,0,0
Jun-15,2015,6,395.1166667,Spring,0,0
Jun-15,2015,6,395.1166667,Winter,0,0
Jan-16,2016,1,265.1666667,Fall,1,0.003771213
Jan-16,2016,1,265.1666667,LateFall,0,0
Jan-16,2016,1,265.1666667,Spring,0,0
Jan-16,2016,1,265.1666667,Winter,0,0
Feb-16,2016,2,354.85,Fall,31,0.087360857
Feb-16,2016,2,354.85,LateFall,0,0
Feb-16,2016,2,354.85,Spring,0,0
Feb-16,2016,2,354.85,Winter,0,0
Mar-16,2016,3,235.05,Fall,53,0.22548394
Mar-16,2016,3,235.05,LateFall,2,0.008508828
Mar-16,2016,3,235.05,Spring,2,0.008508828
Mar-16,2016,3,235.05,Winter,0,0
Apr-16,2016,4,181.1833333,Fall,69,0.38082973
Apr-16,2016,4,181.1833333,LateFall,6,0.033115629
Apr-16,2016,4,181.1833333,Spring,1,0.005519271
Apr-16,2016,4,181.1833333,Winter,0,0
May-16,2016,5,257.6833333,Fall,4,0.015522929
May-16,2016,5,257.6833333,LateFall,1,0.003880732
May-16,2016,5,257.6833333,Spring,0,0
May-16,2016,5,257.6833333,Winter,0,0
Jun-16,2016,6,435.6166667,Fall,0,0
Jun-16,2016,6,435.6166667,LateFall,0,0
Jun-16,2016,6,435.6166667,Spring,0,0
Jun-16,2016,6,435.6166667,Winter,0,0
Jan-17,2017,1,80.98333334,Fall,113,1.395348837
Jan-17,2017,1,80.98333334,LateFall,4,0.049392879
Jan-17,2017,1,80.98333334,Spring,2,0.02469644
Jan-17,2017,1,80.98333334,Winter,0,0
Feb-17,2017,2,9.7,Fall,53,5.463917526
Feb-17,2017,2,9.7,LateFall,1,0.103092784
Feb-17,2017,2,9.7,Spring,2,0.206185567
Feb-17,2017,2,9.7,Winter,0,0
Mar-17,2017,3,38.38333333,Fall,10,0.260529744
Mar-17,2017,3,38.38333333,LateFall,2,0.052105949
Mar-17,2017,3,38.38333333,Spring,0,0
Mar-17,2017,3,38.38333333,Winter,1,0.026052974
Apr-17,2017,4,17.36666667,Fall,48,2.763915547
Apr-17,2017,4,17.36666667,LateFall,3,0.172744722
Apr-17,2017,4,17.36666667,Spring,0,0
Apr-17,2017,4,17.36666667,Winter,0,0
May-17,2017,5,205.9166667,Fall,80,0.388506677
May-17,2017,5,205.9166667,LateFall,2,0.009712667
May-17,2017,5,205.9166667,Spring,2,0.009712667
May-17,2017,5,205.9166667,Winter,0,0
Jun-17,2017,6,363.3166667,Fall,0,0
Jun-17,2017,6,363.3166667,LateFall,0,0
Jun-17,2017,6,363.3166667,Spring,0,0
Jun-17,2017,6,363.3166667,Winter,0,0
Jan-18,2018,1,337.75,Fall,0,0
Jan-18,2018,1,337.75,LateFall,0,0
Jan-18,2018,1,337.75,Spring,0,0
Jan-18,2018,1,337.75,Winter,0,0
Feb-18,2018,2,383.35,Fall,0,0
Feb-18,2018,2,383.35,LateFall,0,0
Feb-18,2018,2,383.35,Spring,0,0
Feb-18,2018,2,383.35,Winter,0,0
Mar-18,2018,3,382.4666667,Fall,0,0
Mar-18,2018,3,382.4666667,LateFall,0,0
Mar-18,2018,3,382.4666667,Spring,0,0
Mar-18,2018,3,382.4666667,Winter,0,0
Apr-18,2018,4,316.2166667,Fall,3,0.009487166
Apr-18,2018,4,316.2166667,LateFall,0,0
Apr-18,2018,4,316.2166667,Spring,0,0
Apr-18,2018,4,316.2166667,Winter,1,0.003162389
May-18,2018,5,382.9166667,Fall,0,0
