Year,Month,Date,Region,WYType,FlowPulseType,SamplePeriod,StationCode,Genus,CPUEZoop
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Sinocalanus,663.389536279305
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Pseudodiaptomus,14447.149901193712
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,NA,26461.87150269667
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Bosmina,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Diaphanosoma,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Alona,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Chydorus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Ceriodaphnia,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Daphnia,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Diaptomus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Ilyocryptus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Macrothrix,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Limnoithona,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Camptocercus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Acartiella,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Eurytemora,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Monospilus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Microcyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Eucyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Pleuroxus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Osphranticum,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Sida,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Disparalona,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Mesocyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Graptoleberis,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Kurzia,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Simocephalus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Moina,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Leydigia,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Acanthocyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Macrocyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Picripleuroxus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Arctodiaptomus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Pseudochydorus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Scapholeberis,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Alonella,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Diacyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Eurycercus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Leptodiaptomus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Skistodiaptomus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Paracyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Ergasilus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Tropocyclops,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Anchistropus,0
2014,Aug,2014-08-05,Upstream,C,NF,Before,STTD,Acartia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Sinocalanus,129.854265223993
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Pseudodiaptomus,2157.578560644815
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,NA,1243.2201250439145
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Bosmina,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Diaphanosoma,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Alona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Chydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Ceriodaphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Daphnia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Diaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Ilyocryptus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Macrothrix,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Limnoithona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Camptocercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Acartiella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Eurytemora,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Monospilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Microcyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Eucyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Pleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Osphranticum,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Sida,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Disparalona,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Mesocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Graptoleberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Kurzia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Simocephalus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Moina,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Leydigia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Acanthocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Macrocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Picripleuroxus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Arctodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Pseudochydorus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Scapholeberis,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Alonella,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Diacyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Eurycercus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Leptodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Skistodiaptomus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Paracyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Ergasilus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Tropocyclops,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Anchistropus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,BL5,Acartia,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Sinocalanus,0
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,Pseudodiaptomus,2905.086575008805
2014,Aug,2014-08-05,Downstream,C,NF,Before,LIB,NA,432.2400267853587
