Year,Month,Date,Region,SamplePeriod,WYType,FlowPulseType,StationCode,TaxonName,CPUEZoop
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Sinocalanus doerrii,663.389536279305
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Pseudodiaptomus forbesi,14447.149901193712
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Cyclopoida,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Bosmina longirostris,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Diaphanosoma sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Alona sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Chydorus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Ceriodaphnia sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Daphnia sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Diaptomus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Ilyocryptus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Macrothrix sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Limnoithona tetraspina,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Camptocercus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Acartiella sinensis,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Eurytemora affinis,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Monospilus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Microcyclops rubellus,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Eucyclops sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Calanoida,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Pleuroxus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Osphranticum labronectum,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Sida sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Disparalona sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Eucyclops elegans,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Mesocyclops edax,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Graptoleberis sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Kurzia sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Simocephalus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Moina sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Leydigia sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Acanthocyclops vernalis,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Macrocyclops sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Picripleuroxus sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Arctodiaptomus dorsalis,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Pseudochydorus globosus,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Scapholeberis sp.,0
2014,Aug,2014-08-05,Upstream,Before,C,NF,STTD,Alonella sp.,0
