Date,Station,Flow,DO,Turbidity,Conductivity,pH,Chl,Temperature
8/1/2019 0:00,RVB,-89000,8,6.2,127,7.3,0.72,23.16666667
8/1/2019 0:15,RVB,-95900,8,6,127,7.3,0.76,23.16666667
8/1/2019 0:30,RVB,-101000,8,5.86,127,7.4,0.92,23.16666667
8/1/2019 0:45,RVB,-103000,8,5.87,127,7.4,0.97,23.16666667
8/1/2019 1:00,RVB,-103000,7.9,6.62,127,7.4,0.89,23.16666667
8/1/2019 1:15,RVB,-102000,8,7.07,127,7.4,1.19,23.16666667
8/1/2019 1:30,RVB,-99900,7.9,7.08,128,7.4,1.24,23.16666667
8/1/2019 1:45,RVB,-98200,7.9,7.41,128,7.4,1.48,23.16666667
8/1/2019 2:00,RVB,-93200,7.9,8.3,128,7.4,1.74,23.16666667
8/1/2019 2:15,RVB,-89800,7.9,8.21,128,7.4,1.63,23.16666667
8/1/2019 2:30,RVB,-86400,7.9,9.44,128,7.4,2.39,23.16666667
8/1/2019 2:45,RVB,-81200,8,6.66,128,7.4,1.85,23.16666667
8/1/2019 3:00,RVB,-73700,8,8.96,129,7.4,2.33,23.16666667
8/1/2019 3:15,RVB,-65000,8,8.43,129,7.4,2.2,23.16666667
8/1/2019 3:30,RVB,-54600,8,6.42,129,7.4,1.63,23.16666667
8/1/2019 3:45,RVB,-40500,8,7.96,130,7.4,1.28,23.16666667
8/1/2019 4:00,RVB,-23100,7.9,6.77,130,7.4,0.81,23.16666667
8/1/2019 4:15,RVB,-5250,7.8,5.31,131,7.4,0.9,23.16666667
8/1/2019 4:30,RVB,16400,8,7.23,131,7.4,0.9,23.16666667
8/1/2019 4:45,RVB,38300,8.1,7,132,7.4,1.18,23.16666667
8/1/2019 5:00,RVB,59500,8.1,6.25,131,7.4,1.18,23.11111111
8/1/2019 5:15,RVB,77700,8,6.41,130,7.4,1.19,23.11111111
8/1/2019 5:30,RVB,91500,8,6.92,129,7.4,1.21,23.11111111
8/1/2019 5:45,RVB,101000,8,6.11,129,7.4,1.07,23.16666667
8/1/2019 6:00,RVB,107000,8,6.61,128,7.4,0.96,23.16666667
8/1/2019 6:15,RVB,109000,7.9,6.8,128,7.4,1.24,23.11111111
8/1/2019 6:30,RVB,112000,7.9,6.58,128,7.4,1.16,23.11111111
8/1/2019 6:45,RVB,112000,7.9,6.13,128,7.4,1.27,23.11111111
8/1/2019 7:00,RVB,110000,7.9,7.41,128,7.4,1.11,23.11111111
8/1/2019 7:15,RVB,108000,7.9,7.53,128,7.4,0.99,23.05555556
8/1/2019 7:30,RVB,105000,7.9,7.73,128,7.3,0.98,23.05555556
8/1/2019 7:45,RVB,106000,7.9,7.14,128,7.3,0.92,23.05555556
8/1/2019 8:00,RVB,102000,7.9,7.58,128,7.3,0.91,23.05555556
8/1/2019 8:15,RVB,103000,8,8.38,127,7.4,0.85,23.05555556
8/1/2019 8:30,RVB,101000,8,7.51,127,7.4,0.87,23
8/1/2019 8:45,RVB,99100,8,7.77,127,7.3,0.68,23
8/1/2019 9:00,RVB,97700,8,8.28,127,7.3,0.87,22.94444444
8/1/2019 9:15,RVB,96700,8,9.13,127,7.3,0.72,22.94444444
8/1/2019 9:30,RVB,94800,8,7.38,127,7.3,0.77,22.88888889
8/1/2019 9:45,RVB,93400,8,8.16,127,7.3,0.75,22.88888889
8/1/2019 10:00,RVB,91400,8,8.05,127,7.3,0.6,22.83333333
8/1/2019 10:15,RVB,90000,8,7.4,127,7.3,0.55,22.83333333
8/1/2019 10:30,RVB,88500,8,6.34,127,7.3,0.54,22.83333333
8/1/2019 10:45,RVB,85500,8,8.23,127,7.4,0.72,22.77777778
8/1/2019 11:00,RVB,82300,8,6.88,128,7.3,0.53,22.77777778
8/1/2019 11:15,RVB,77900,8,7.19,128,7.4,0.54,22.77777778
8/1/2019 11:30,RVB,72600,8,5.37,128,7.4,0.51,22.77777778
8/1/2019 11:45,RVB,65100,8,5.79,129,7.4,0.46,22.72222222
8/1/2019 12:00,RVB,54800,,,,,,
8/1/2019 12:15,RVB,40300,,,,,,
8/1/2019 12:30,RVB,22800,,,,,,
8/1/2019 12:45,RVB,2980,8.2,6.08,129,7.5,0.52,23
8/1/2019 13:00,RVB,-17300,8.2,6.32,129,7.4,0.47,22.94444444
8/1/2019 13:15,RVB,-36400,8.1,5.5,129,7.4,0.4,22.88888889
8/1/2019 13:30,RVB,-52000,8.1,5.69,129,7.3,0.46,22.83333333
8/1/2019 13:45,RVB,-64400,8,5.28,130,7.3,0.53,22.77777778
8/1/2019 14:00,RVB,-73600,8,5.44,130,7.3,0.46,22.77777778
8/1/2019 14:15,RVB,-82700,8,5.63,129,7.3,0.43,22.72222222
8/1/2019 14:30,RVB,-86200,8,5.37,129,7.3,0.46,22.77777778
8/1/2019 14:45,RVB,-88500,8,5.51,129,7.3,0.62,22.77777778
8/1/2019 15:00,RVB,-87000,8,6.05,129,7.3,0.5,22.77777778
8/1/2019 15:15,RVB,-84700,8,5.09,128,7.3,0.6,22.83333333
8/1/2019 15:30,RVB,-81900,8,5.45,128,7.3,0.56,22.83333333
8/1/2019 15:45,RVB,-79300,8,5.39,128,7.4,0.63,22.88888889
8/1/2019 16:00,RVB,-76600,8,6.06,127,7.4,0.58,22.94444444
8/1/2019 16:15,RVB,-75100,8,6,127,7.4,0.75,23
8/1/2019 16:30,RVB,-71600,8.1,6.28,127,7.4,0.76,23.05555556
8/1/2019 16:45,RVB,-67500,8.1,5.6,127,7.4,0.79,23.05555556
8/1/2019 17:00,RVB,-62300,8.1,6.27,127,7.4,0.85,23.11111111
8/1/2019 17:15,RVB,-54700,8.1,5.65,127,7.4,0.88,23.16666667
8/1/2019 17:30,RVB,-45900,8.1,5.49,127,7.4,0.8,23.16666667
8/1/2019 17:45,RVB,-37600,8.1,4.74,127,7.4,0.75,23.16666667
8/1/2019 18:00,RVB,-22800,8.1,4.89,127,7.4,1.05,23.16666667
8/1/2019 18:15,RVB,-9600,8.1,5.07,127,7.4,1,23.22222222
8/1/2019 18:30,RVB,8080,8.1,5.42,127,7.4,0.82,23.16666667
8/1/2019 18:45,RVB,23600,8.2,5.24,127,7.4,0.88,23.22222222
8/1/2019 19:00,RVB,41500,8.2,5.04,127,7.4,0.82,23.22222222
8/1/2019 19:15,RVB,57200,8.2,5.27,127,7.3,0.67,23.11111111
8/1/2019 19:30,RVB,69000,8.1,4.99,127,7.4,0.93,23.11111111
8/1/2019 19:45,RVB,76700,8.1,5.04,127,7.4,0.86,23.05555556
8/1/2019 20:00,RVB,81500,8.2,5.58,127,7.4,0.91,23.11111111
8/1/2019 20:15,RVB,83700,8.3,5.23,126,7.4,0.77,23.16666667
8/1/2019 20:30,RVB,83300,8.3,5.53,126,7.4,0.67,23.16666667
8/1/2019 20:45,RVB,83900,8.3,5.85,126,7.4,0.79,23.05555556
8/1/2019 21:00,RVB,82700,8.2,5.67,126,7.4,0.79,23.05555556
8/1/2019 21:15,RVB,78700,8.2,5.68,126,7.4,0.71,23
8/1/2019 21:30,RVB,76800,8.2,5.8,125,7.4,0.86,23
8/1/2019 21:45,RVB,72900,8.2,6.15,126,7.4,0.72,22.94444444
8/1/2019 22:00,RVB,65700,8.2,6.44,126,7.3,0.64,22.88888889
8/1/2019 22:15,RVB,60400,8.1,5.53,126,7.3,0.65,22.88888889
8/1/2019 22:30,RVB,50700,8.1,5.98,126,7.3,0.64,22.83333333
8/1/2019 22:45,RVB,39400,8.1,5.41,126,7.3,0.75,22.83333333
8/1/2019 23:00,RVB,26600,8.1,5.68,126,7.3,0.65,22.83333333
8/1/2019 23:15,RVB,11700,8.1,5.49,126,7.3,0.51,22.83333333
8/1/2019 23:30,RVB,-4180,8.1,5.5,126,7.3,0.51,22.77777778
8/1/2019 23:45,RVB,-23800,8.1,4.93,126,7.3,0.5,22.77777778
8/2/2019 0:00,RVB,-40800,8.1,4.75,126,7.3,0.51,22.77777778
8/2/2019 0:15,RVB,-56500,8.1,4.8,126,7.3,0.45,22.77777778
8/2/2019 0:30,RVB,-70900,8.1,5.39,126,7.3,0.5,22.77777778
8/2/2019 0:45,RVB,-80100,8.1,6.53,126,7.3,0.63,22.83333333
8/2/2019 1:00,RVB,-87800,8.1,6.61,126,7.3,0.68,22.83333333
8/2/2019 1:15,RVB,-94400,8.1,6.85,126,7.3,0.73,22.83333333
8/2/2019 1:30,RVB,-98400,8.1,6.64,126,7.3,0.7,22.83333333
8/2/2019 1:45,RVB,-99500,8.1,6.54,126,7.3,0.76,22.88888889
8/2/2019 2:00,RVB,-1.00E+05,8.1,6.6,126,7.4,0.8,22.88888889
8/2/2019 2:15,RVB,-1.00E+05,8.1,7.19,126,7.4,0.99,22.88888889
8/2/2019 2:30,RVB,-94100,8.1,6.65,126,7.4,0.99,22.88888889
8/2/2019 2:45,RVB,-94200,8.1,6.69,126,7.4,1.26,22.88888889
8/2/2019 3:00,RVB,-90900,8.1,8.17,127,7.4,1.35,22.88888889
8/2/2019 3:15,RVB,-88000,8,9.55,127,7.4,1.61,22.88888889
