MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,4,4,9.3,,,i,BSA.YOLO-01,BB,,cylinder,312.47,,,,,,,,,,Length,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,1860,Skeletonema potamos,Diatom,Skeletonema,potamos,,7,7,8.8,,,i,BSA.YOLO-01,BB,,cylinder + 2 half spheres,66.42,,,,,,,,,,Length,8.8,8.8,8.8,8.8,8.8,8.8,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,987,Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,11.1,,,i,BSA.YOLO-01,BB,,cylinder,629,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,1.9,,,i,BSA.YOLO-01,BB,,sphere,3.59,,,,,,,,,,Length,1.9,1.9,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,1,1,6.5,,,i,BSA.YOLO-01,BB,,2 cones,12.29,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,9.3,,,i,BSA.YOLO-01,BB,,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,4/22/2019,12:15,LIS,0,63,1,1.59%,0.0697,314.159,0.5576,8,563.41,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,412,830,0.8,0.8,0.8,c,BSA.YOLO-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,4/16/2019,9:13,SHER,0,62,0.5,0.81%,0.0697,314.159,0.9758,14,643.9,88,Aulacoseira alpigena,Diatom,Aulacoseira,alpigena,,16,16,5.6,,,i,BSA.YOLO-02,BB,,cylinder,113.3,,,,,,,,,,Length,4.6,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,
