MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,i,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,elliptic prism,96.77,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,35.2,i,BSA.YOLO-01,DK,Obscured by detritus. Sample contains mucilaginous detritus. Many broken diatoms.,prism on parallelogram,651.20,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,18,18,1.9,i,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,3.59,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1365,cf. Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,1,1,9.3,i,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cone + half sphere,337.38,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,390,801,0.65,c,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1789,Heteroleibleinia sp.,Soft Body,Heteroleibleinia,sp.,,67,271,1.9,f,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cylinder,1.21,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,20,0.5,c,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cube,0.13,,,,,,,,,
Phyto,6/30/2016,12:12,LIB,55,3,5.45%,0.0697,314.159,0.418478994,6,250.24,1519,Snowella sp.,Soft Body,Snowella,sp.,,10,65,0.9,c,BSA.YOLO-01,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,0.38,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,4.6,i,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,cylinder,49.86,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,39,39,1.9,i,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,sphere,3.59,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,9,9,4.6,i,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,cone + half sphere,36.01,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,530,1074,0.65,c,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1789,cf. Heteroleibleinia sp.,Soft Body,Heteroleibleinia,sp.,,21,90,1.9,f,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,cylinder,1.21,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,16,0.5,c,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,cube,0.13,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1519,Snowella sp.,Soft Body,Snowella,sp.,,3,15,0.9,c,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,sphere,0.38,,,,,,,,,
Phyto,6/30/2016,9:40,STTD,57,1,1.75%,0.0697,314.159,0.348732495,5,900.86,1588,cf. Trachelomonas sp.,Soft Body,Trachelomonas,sp.,,1,1,9.3,i,BSA.YOLO-02,DK,Sample contains mucilaginous detritus.,ellipsoid,242.50,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,16.7,i,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,prism on parallelogram,46.76,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,34,34,4.6,i,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,sphere,50.96,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,7.4,i,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,2 cones,13.99,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,14,14,7.4,i,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,669,1368,0.65,c,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,2,12,1.9,c,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,sphere,3.59,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1789,cf. Heteroleibleinia sp.,Soft Body,Heteroleibleinia,sp.,,50,180,1.9,f,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,cylinder,1.21,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,6,112,0.5,c,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,cube,0.13,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1508,cf. Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,9,1.9,f,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,cylinder,5.39,,,,,,,,,
Phyto,6/30/2016,11:30,BL5,65,1,1.54%,0.0697,314.159,0.348732495,5,900.86,1519,Snowella sp.,Soft Body,Snowella,sp.,,1,6,0.9,c,BSA.YOLO-03,DK,Sample contains mucilaginous detritus.,sphere,0.38,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,20.4,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,prism on parallelogram,113.22,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,38.4,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,prism on parallelogram,213.12,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1027,Chlamydomonas globosa,Soft Body,Chlamydomonas,globosa,,1,1,5.6,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,65.68,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,29,29,2.8,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,11.49,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1136,Monoraphidium griffithii,Soft Body,Monoraphidium,griffithii,,1,1,29.6,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,2 cones,55.95,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,5.6,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,2 cones,2.38,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,21,21,4.6,i,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,cone + half sphere,40.99,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,342,701,0.65,c,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,2.8,c,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,11.49,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1430,Cylindrospermopsis sp.,Soft Body,Cylindrospermopsis,sp.,,9,73,4.6,f,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,cylinder,13.04,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1767,Dolichospermum spp.,Soft Body,Dolichospermum,spp.,,2,19,3.7,f,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,26.52,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1789,cf. Heteroleibleinia sp.,Soft Body,Heteroleibleinia,sp.,,44,175,1.9,f,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,cylinder,1.21,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1853,Planktolyngbya cf. microspira,Soft Body,Planktolyngbya,microspira,,3,22,3.7,f,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,cylinder,2.35,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,17,2.8,f,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,cylinder,1.78,,,,,,,,,
Phyto,8/2/2016,9:39,STTD,64,1,1.56%,0.0697,314.159,0.348732495,5,900.86,1519,Snowella sp.,Soft Body,Snowella,sp.,,5,32,0.9,c,BSA.YOLO-04,DK,Sample contains mucilaginous detritus.,sphere,0.38,,,,,,,,,
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cylinder,73.89,,,,,,,,,
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,30,30,1.9,i,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,3.59,,,,,,,,,
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,37,37,5.6,i,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cone + half sphere,68.96,,,,,,,,,
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,286,590,0.65,c,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,1789,cf. Heteroleibleinia sp.,Soft Body,Heteroleibleinia,sp.,,39,157,1.9,f,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,cylinder,1.21,,,,,,,,,
Phyto,8/2/2016,10:45,BL5,66,1,1.52%,0.0697,314.159,0.488225493,7,643.47,1519,Snowella sp.,Soft Body,Snowella,sp.,,8,46,0.9,c,BSA.YOLO-05,DK,Sample contains mucilaginous detritus. Many broken diatoms.,sphere,0.38,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,cylinder,182.26,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,16.7,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,prism on parallelogram,92.69,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,36,36,1.9,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,sphere,3.59,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1774,Desmodesmus sp.,Soft Body,Desmodesmus,sp.,,1,2,12,c,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,prolate spheroid,132.95,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,3,3,5.6,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,2 cones,10.59,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,22,22,7.4,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1365,cf. Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,2,2,11.1,i,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,cone + half sphere,506.42,,,,,,,,,
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,446,945,0.65,c,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,8/2/2016,9:15,LIS,67,1,1.49%,0.0697,314.159,0.348732495,5,900.86,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,4,1.9,c,BSA.YOLO-06,DK,Sample contains mucilaginous detritus.,sphere,3.59,,,,,,,,,
