MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25,
Phyto,9/26/2017,14:42,US5,3,60.0,1,1.67%,0.0697,314.159,0.836957988,12,375.36,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,14.8,,,i,BSA.YOLO-01,CT,Fragment.,cylinder,1005.35,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,14:42,US5,3,60.0,1,1.67%,0.0697,314.159,0.836957988,12,375.36,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,19.4,,,i,BSA.YOLO-01,CT,,elliptic prism,456.49,,,,,,,,,,Length,19.4,19.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.7,9.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,1.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,14:42,US5,3,60.0,1,1.67%,0.0697,314.159,0.836957988,12,375.36,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,13,,,i,BSA.YOLO-01,CT,,cylinder,862.76,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,14:42,US5,3,60.0,1,1.67%,0.0697,314.159,0.836957988,12,375.36,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,3.7,,,i,BSA.YOLO-01,CT,,sphere,11.49,,,,,,,,,,Length,2.8,3.7,2.8,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,14:42,US5,3,60.0,1,1.67%,0.0697,314.159,0.836957988,12,375.36,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,389,781,0.8,0.8,0.8,c,BSA.YOLO-01,CT,,sphere,0.18,0.18,0.18,0.27,0.27,0.18,0.18,0.18,0.27,0.27,Length,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,13,,,i,BSA.YOLO-02,CT,,elliptic prism,139.78,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,13,,,i,BSA.YOLO-02,CT,,elliptic prism,279.55,,,,,,,,,,Length,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,6.1,,,i,BSA.YOLO-02,CT,,cylinder,125.67,,,,,,,,,,Length,4.2,4.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.1,5.7,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,22.2,,,i,BSA.YOLO-02,CT,,prism on parallelogram,87.02,,,,,,,,,,Length,22.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,816,cf. Pinnularia sp.,Diatom,Pinnularia,sp.,,1,1,47.3,,,i,BSA.YOLO-02,CT,,box,8137.18,,,,,,,,,,Length,47.3,47.3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,1015,cf. Ankistrodesmus sp.,Soft Body,Ankistrodesmus,sp.,,2,2,7.4,,,i,BSA.YOLO-02,CT,,cylinder + 2 cones,4.99,,,,,,,,,,Length,7.4,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,0.9,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,17,17,2.8,,,i,BSA.YOLO-02,CT,,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,1.9,1.9,2.8,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,4,4,9.3,,,c,BSA.YOLO-02,CT,,prolate spheroid,25.33,,,,,,,,,,Length,8.4,7.4,7.4,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.4,1.9,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,5,5,7,,,i,BSA.YOLO-02,CT,,cone + half sphere,142.39,,,,,,,,,,Length,7.0,7.4,6.5,6.5,7.4,7.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.1,3.7,3.7,3.7,4.6,4.6,,,,,,,,,,,,,,,,,,,,,
Phyto,9/26/2017,11:02,US653,3,63.0,1,1.59%,0.0697,314.159,2.022648471,29,155.32,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,370,740,0.8,0.8,0.8,c,BSA.YOLO-02,CT,,sphere,0.18,0.27,0.18,0.27,0.18,0.18,0.27,0.18,0.27,0.18,Length,0.8,0.7,0.8,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8,0.8,
Phyto,10/3/2017,13:44,US5,3,62.0,1,1.61%,0.0697,314.159,0.906704487,13,346.48,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,,,i,BSA.YOLO-03,CT,Low sediment and moderate detritus. Ciliates observed.,cylinder,95.03,,,,,,,,,,Length,4.0,4.6,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.5,7.4,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/3/2017,13:44,US5,3,62.0,1,1.61%,0.0697,314.159,0.906704487,13,346.48,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,6,6,3.7,,,i,BSA.YOLO-03,CT,Low sediment and moderate detritus. Ciliates observed.,sphere,9.20,,,,,,,,,,Length,2.6,2.8,1.9,2.8,3.7,1.9,,,,,,,,,,,,,,,,,,,,,
Phyto,10/3/2017,13:44,US5,3,62.0,1,1.61%,0.0697,314.159,0.906704487,13,346.48,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,5.6,,,i,BSA.YOLO-03,CT,Low sediment and moderate detritus. Ciliates observed.,cylinder + 2 cones,18.57,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/3/2017,13:44,US5,3,62.0,1,1.61%,0.0697,314.159,0.906704487,13,346.48,1806,cf. Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,1,1,3.7,,,i,BSA.YOLO-03,CT,Low sediment and moderate detritus. Ciliates observed.,prolate spheroid,15.19,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
