MethodCode,SampleDate,SampleTime,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,8/30/2018,11:52,LIB 3m,3,63.0,2,3.17%,0.0683,314.159,0.8196,12,191.65,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,3.7,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,cylinder,30.11,,,,,,,,,,Length,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:52,LIB 3m,3,63.0,2,3.17%,0.0683,314.159,0.8196,12,191.65,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,31,31,2.8,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,1.9,2.8,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,11:52,LIB 3m,3,63.0,2,3.17%,0.0683,314.159,0.8196,12,191.65,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,386,791,0.8,0.8,0.8,c,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,730,Nitzschia palea,Diatom,Nitzschia,palea,,1,1,27.8,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,prism on parallelogram,236.58,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,1020,Carteria sp.,Soft Body,Carteria,sp.,,2,2,11.1,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,sphere,450.08,,,,,,,,,,Length,11.1,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.8,8.2,9.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,9,9,3.7,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,1.9,2.8,1.9,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,7.4,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,2 cones,3.14,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,cone + half sphere,73.07,,,,,,,,,,Length,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.3,3.7,2.8,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,14:12,LIS,1,62.0,1,1.61%,0.0683,314.159,0.6147,9,511.08,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,385,789,0.8,0.8,0.8,c,BSA.YOLO-02,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,10:55,RYI 3M,3,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,13,13,2.8,,,i,BSA.YOLO-03,CT,Low sediment and detritus. ,sphere,7.24,,,,,,,,,,Length,2.4,1.9,2.8,2.8,1.9,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:55,RYI 3M,3,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1047,Closteriopsis cf. acicularis,Soft Body,Closteriopsis,acicularis,,1,1,37,,,i,BSA.YOLO-03,CT,Low sediment and detritus. ,cylinder + 2 cones,107.60,,,,,,,,,,Length,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:55,RYI 3M,3,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,10.2,,,i,BSA.YOLO-03,CT,Low sediment and detritus. ,cone + half sphere,403.12,,,,,,,,,,Length,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:55,RYI 3M,3,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,2,1.9,,,c,BSA.YOLO-03,CT,Low sediment and detritus. ,sphere,3.59,,,,,,,,,,Length,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,10:55,RYI 3M,3,62.0,2,3.23%,0.0683,314.159,1.1611,17,135.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,406,840,0.8,0.8,0.8,c,BSA.YOLO-03,CT,Low sediment and detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,8/30/2018,9:30,SDI,1,59.5,2,3.36%,0.0683,314.159,0.4781,7,328.55,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,5.6,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,cylinder,49.37,,,,,,,,,,Length,3.4,2.8,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.3,3.7,3.7,5.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,8/30/2018,9:30,SDI,1,59.5,2,3.36%,0.0683,314.159,0.4781,7,328.55,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,18.5,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,prism on parallelogram,95.83,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
