MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,18.5,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,elliptic prism,256.74,,,,,,,,,,Length,18.5,20.4,16.7,18.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,9.3,11.1,7.4,9.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,2,2,11.9,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,cylinder,772.98,,,,,,,,,,Length,7.0,10.2,3.7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.9,17.6,6.1,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,325,Epithemia sorex,Diatom,Epithemia,sorex,,1,1,24.1,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,cymbelloid,1159.29,,,,,,,,,,Length,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,631,Navicula sp.,Diatom,Navicula,sp.,,3,3,19.1,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,elliptic prism,286.67,,,,,,,,,,Length,19.1,14.8,14.8,27.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.9,3.7,3.7,7.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.9,3.1,3.1,5.6,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,53,53,3.2,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,sphere,17.16,,,,,,,,,,Length,3.2,3.1,2.8,3.7,3.7,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,17,17,6.7,,,i,BSA. YOLO-01,DK,Moderate sediment and detritus.,cone + half sphere,129.27,,,,,,,,,,Length,6.7,8.0,6.5,6.1,7.4,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.3,5.6,3.7,4.3,4.3,3.7,,,,,,,,,,,,,,,,,,,,
Phyto,11/14/2017,10:03,SHER,61.0,4,6.56%,0.0697,314.159,0.418478994,6,187.68,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,322,649,1,0.9,0.9,c,BSA. YOLO-01,DK,Moderate sediment and detritus.,sphere,0.27,0.27,0.11,0.18,0.38,0.18,0.18,0.11,0.38,0.11,Length,0.7,0.8,0.8,0.6,0.7,0.9,0.7,0.7,0.6,0.9,0.6,1.0,0.8,0.7,0.8,0.6,0.7,0.6,0.8,0.9,0.7,0.6,0.6,0.7,0.8,0.8
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,16.7,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,elliptic prism,261.67,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,11/29/2017,8:55,STTD,60.5,2,3.31%,0.0697,314.159,0.418478994,6,375.36,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,6.5,,,i,BSA.YOLO-02,DK,High sediment and low detritus.,cylinder,97.74,,,,,,,,,,Length,3.4,3.7,3.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.1,6.5,5.6,,,,,,,,,,,,,,,,,,,,,,,
