MethodCode,SampleDate,SampleTime,StationCode,Depth (ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,16.7,,,i,BSA.YOLO-01,CT,Moderate sediment and detritus.,elliptic prism,407.65,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,7.4,,,i,BSA.YOLO-01,CT,Moderate sediment and detritus.,sphere,99.81,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,17,17,2.8,,,i,BSA.YOLO-01,CT,Moderate sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,2.8,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,10.2,,,i,BSA.YOLO-01,CT,Moderate sediment and detritus.,cone + half sphere,356.77,,,,,,,,,,Length,9.5,9.3,10.2,9.3,9.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,
Phyto,9/17/2018,15:15,LH-SAV-1,3,61.5,2,3.25%,0.0683,314.159,0.8879,13,176.91,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,,,i,BSA.YOLO-01,CT,Moderate sediment and detritus.,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
