MethodCode,SampleDate,SampleTime,StationCode,Depth (ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,elliptic prism,488.20,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,7,7,3.7,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,1.9,3.7,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,433,886,0.8,0.8,0.8,c,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,40,Achnanthidium exiguum,Diatom,Achnanthidium,exiguum,,1,1,15.7,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,elliptic prism,255.49,,,,,,,,,,Length,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,27.8,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,elliptic prism,2100.44,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,55.6,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,prism on parallelogram,473.16,,,,,,,,,,Length,55.6,55.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
