StationCode,DateTime,Analyte,Result,ResultQual,MDL,Units
RCS,10/19/2015 8:15,"3,4-Dichloroaniline",99.9,,3.2,ng/L
RCS,10/19/2015 8:15,"3,5-Dichloroaniline",< MDL,,7.6,ng/L
RCS,10/19/2015 8:15,Acetamiprid,< MDL,,3.3,ng/L
RCS,10/19/2015 8:15,Acibenzolar-S-methyl,< MDL,,3,ng/L
RCS,10/19/2015 8:15,Alachlor,< MDL,,1.7,ng/L
RCS,10/19/2015 8:15,Allethrin,< MDL,,1,ng/L
RCS,10/19/2015 8:15,Atrazine,< MDL,,2.3,ng/L
RCS,10/19/2015 8:15,Azinphos-methyl,< MDL,,9.4,ng/L
RCS,10/19/2015 8:15,Azinphos-methyl oxygen analog,< MDL,,9.4,ng/L
RCS,10/19/2015 8:15,Azoxystrobin,446,,3.1,ng/L
RCS,10/19/2015 8:15,Benfluralin,< MDL,,2,ng/L
RCS,10/19/2015 8:15,Bifenthrin,< MDL,,0.7,ng/L
RCS,10/19/2015 8:15,Boscalid,31.4,,2.8,ng/L
RCS,10/19/2015 8:15,Bromoconazole,< MDL,,3.2,ng/L
RCS,10/19/2015 8:15,Butralin,< MDL,,2.6,ng/L
RCS,10/19/2015 8:15,Butylate,< MDL,,1.8,ng/L
RCS,10/19/2015 8:15,Captan,< MDL,,10.2,ng/L
RCS,10/19/2015 8:15,Carbaryl,< MDL,,6.5,ng/L
RCS,10/19/2015 8:15,Carbendazim,< MDL,,4.2,ng/L
RCS,10/19/2015 8:15,Carbofuran,< MDL,,3.1,ng/L
RCS,10/19/2015 8:15,Chlorantraniliprole,9.5,,4,ng/L
RCS,10/19/2015 8:15,Chlorothalonil,< MDL,,4.1,ng/L
RCS,10/19/2015 8:15,Chlorpyrifos,< MDL,,2.1,ng/L
RCS,10/19/2015 8:15,Chlorpyrifos oxon,< MDL,,5,ng/L
RCS,10/19/2015 8:15,Clomazone,< MDL,,2.5,ng/L
RCS,10/19/2015 8:15,Clothianidin,< MDL,,3.9,ng/L
RCS,10/19/2015 8:15,Coumaphos,< MDL,,3.1,ng/L
RCS,10/19/2015 8:15,Cyantraniliprole,< MDL,,4.2,ng/L
RCS,10/19/2015 8:15,Cyazofamid,< MDL,,4.1,ng/L
RCS,10/19/2015 8:15,Cycloate,< MDL,,1.1,ng/L
RCS,10/19/2015 8:15,Cyfluthrin,< MDL,,1,ng/L
RCS,10/19/2015 8:15,Cyhalofop-butyl,< MDL,,1.9,ng/L
RCS,10/19/2015 8:15,Cyhalothrin (all isomers),< MDL,,0.5,ng/L
RCS,10/19/2015 8:15,Cymoxanil,< MDL,,3.9,ng/L
RCS,10/19/2015 8:15,Cypermethrin,< MDL,,1,ng/L
RCS,10/19/2015 8:15,Cyproconazole,< MDL,,4.7,ng/L
RCS,10/19/2015 8:15,Cyprodinil,< MDL,,7.4,ng/L
RCS,10/19/2015 8:15,DCPA,< MDL,,2,ng/L
RCS,10/19/2015 8:15,"N-(3,4-Dichlorophenyl)-N'-methylurea",3.8,,3.5,ng/L
RCS,10/19/2015 8:15,"3,4-Dichlorophenylurea",2.5,J- estimated,3.4,ng/L
RCS,10/19/2015 8:15,Deltamethrin,< MDL,,0.6,ng/L
RCS,10/19/2015 8:15,Desthio-prothioconazole,< MDL,,3,ng/L
RCS,10/19/2015 8:15,Diazinon,< MDL,,0.9,ng/L
RCS,10/19/2015 8:15,Diazoxon,< MDL,,5,ng/L
RCS,10/19/2015 8:15,Difenoconazole,< MDL,,10.5,ng/L
RCS,10/19/2015 8:15,Dimethomorph,< MDL,,6,ng/L
RCS,10/19/2015 8:15,Dinotefuran,< MDL,,4.5,ng/L
RCS,10/19/2015 8:15,Dithiopyr,< MDL,,1.6,ng/L
RCS,10/19/2015 8:15,Diuron,< MDL,,3.2,ng/L
RCS,10/19/2015 8:15,EPTC,< MDL,,1.5,ng/L
RCS,10/19/2015 8:15,Esfenvalerate,< MDL,,0.5,ng/L
RCS,10/19/2015 8:15,Ethaboxam,< MDL,,3.8,ng/L
RCS,10/19/2015 8:15,Ethalfluralin,< MDL,,3,ng/L
RCS,10/19/2015 8:15,Etofenprox,< MDL,,2.2,ng/L
RCS,10/19/2015 8:15,Famoxadone,< MDL,,2.5,ng/L
RCS,10/19/2015 8:15,Fenamidone,< MDL,,5.1,ng/L
RCS,10/19/2015 8:15,Fenarimol,< MDL,,6.5,ng/L
RCS,10/19/2015 8:15,Fenbuconazole,< MDL,,5.2,ng/L
RCS,10/19/2015 8:15,Fenhexamid,< MDL,,7.6,ng/L
RCS,10/19/2015 8:15,Fenpropathrin,< MDL,,0.6,ng/L
RCS,10/19/2015 8:15,Fenpyroximate,< MDL,,5.2,ng/L
RCS,10/19/2015 8:15,Fenthion,< MDL,,5.5,ng/L
RCS,10/19/2015 8:15,Fipronil,< MDL,,2.9,ng/L
RCS,10/19/2015 8:15,Desulfinylfipronil,< MDL,,1.6,ng/L
RCS,10/19/2015 8:15,Desulfinylfipronil amide,< MDL,,3.2,ng/L
RCS,10/19/2015 8:15,Fipronil sulfide,< MDL,,1.8,ng/L
RCS,10/19/2015 8:15,Fipronil sulfone,< MDL,,3.5,ng/L
RCS,10/19/2015 8:15,Flonicamid,< MDL,,3.4,ng/L
RCS,10/19/2015 8:15,Fluazinam,< MDL,,4.4,ng/L
RCS,10/19/2015 8:15,Fludioxonil,< MDL,,7.3,ng/L
RCS,10/19/2015 8:15,Flufenacet,< MDL,,4.7,ng/L
RCS,10/19/2015 8:15,Flumetralin,< MDL,,5.8,ng/L
RCS,10/19/2015 8:15,Fluopicolide,< MDL,,3.9,ng/L
RCS,10/19/2015 8:15,Fluopyram,< MDL,,3.8,ng/L
RCS,10/19/2015 8:15,Fluoxastrobin,< MDL,,9.5,ng/L
RCS,10/19/2015 8:15,Fluridone,< MDL,,3.7,ng/L
RCS,10/19/2015 8:15,Flusilazole,< MDL,,4.5,ng/L
RCS,10/19/2015 8:15,Flutolanil,< MDL,,4.4,ng/L
