StationCode,DateTime,Analyte,Result,ResultQual,MDL,Units
SHR,8/29/2017 9:05,"3,4-Dichloroaniline",2.9,,1.3,ng/g
SHR,8/29/2017 9:05,"3,5-Dichloroaniline",< MDL,,1.5,ng/g
SHR,8/29/2017 9:05,Allethrin,< MDL,,1.7,ng/g
SHR,8/29/2017 9:05,Atrazine,< MDL,,1.5,ng/g
SHR,8/29/2017 9:05,Azoxystrobin,29.3,,0.9,ng/g
SHR,8/29/2017 9:05,Benfluralin,< MDL,,1.7,ng/g
SHR,8/29/2017 9:05,Bifenthrin,48.2,,0.6,ng/g
SHR,8/29/2017 9:05,Boscalid,5.6,,1.2,ng/g
SHR,8/29/2017 9:05,Butralin,< MDL,,1.6,ng/g
SHR,8/29/2017 9:05,Carbaryl,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Carbofuran,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Chlorpyrifos,10.7,,0.9,ng/g
SHR,8/29/2017 9:05,Clomazone,2.9,,2,ng/g
SHR,8/29/2017 9:05,Coumaphos,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Cycloate,< MDL,,0.8,ng/g
SHR,8/29/2017 9:05,Cyfluthrin,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,Cyhalofop-butyl,< MDL,,0.8,ng/g
SHR,8/29/2017 9:05,Cyhalothrin (all isomers),< MDL,,0.7,ng/g
SHR,8/29/2017 9:05,Cypermethrin,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,DCPA,< MDL,,1.7,ng/g
SHR,8/29/2017 9:05,Deltamethrin,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,Diazinon,< MDL,,1.6,ng/g
SHR,8/29/2017 9:05,Dithiopyr,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,EPTC,< MDL,,0.8,ng/g
SHR,8/29/2017 9:05,Esfenvalerate,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Ethalfluralin,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Etofenprox,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Fenpropathrin,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Fenpyroximate,< MDL,,1.9,ng/g
SHR,8/29/2017 9:05,Fipronil,< MDL,,1.6,ng/g
SHR,8/29/2017 9:05,Desulfinylfipronil,< MDL,,1.8,ng/g
SHR,8/29/2017 9:05,Desulfinylfipronil amide,< MDL,,2,ng/g
SHR,8/29/2017 9:05,Fipronil sulfide,< MDL,,1.5,ng/g
SHR,8/29/2017 9:05,Fipronil sulfone,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Fludioxonil,< MDL,,2.5,ng/g
SHR,8/29/2017 9:05,Flufenacet,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Flumetralin,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Flutolanil,< MDL,,2.1,ng/g
SHR,8/29/2017 9:05,Hexazinone,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Iprodione,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Kresoxim-methyl,< MDL,,0.5,ng/g
SHR,8/29/2017 9:05,Malathion,< MDL,,1,ng/g
SHR,8/29/2017 9:05,Metconazole,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Methoprene,< MDL,,1.6,ng/g
SHR,8/29/2017 9:05,Methyl parathion,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Metolachlor,< MDL,,0.7,ng/g
SHR,8/29/2017 9:05,Myclobutanil,< MDL,,1.7,ng/g
SHR,8/29/2017 9:05,Napropamide,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Novaluron,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Oxadiazon,< MDL,,1.4,ng/g
SHR,8/29/2017 9:05,Oxyfluorfen,< MDL,,1.9,ng/g
SHR,8/29/2017 9:05,"p,p'-DDD",17.3,,1,ng/g
SHR,8/29/2017 9:05,"p,p'-DDE",26.4,,1,ng/g
SHR,8/29/2017 9:05,"p,p'-DDT",< MDL,,0.8,ng/g
SHR,8/29/2017 9:05,Pentachloroanisole,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Pentachloronitrobenzene,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Pendimethalin,14.1,,0.8,ng/g
SHR,8/29/2017 9:05,Permethrin,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Phenothrin,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Phosmet,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Piperonyl butoxide,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Prodiamine,< MDL,,1.4,ng/g
SHR,8/29/2017 9:05,Prometon,< MDL,,2.7,ng/g
SHR,8/29/2017 9:05,Prometryn,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,Propanil,5.1,,2.2,ng/g
SHR,8/29/2017 9:05,Propargite,< MDL,,2.2,ng/g
SHR,8/29/2017 9:05,Propiconazole,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Propyzamide,< MDL,,1.5,ng/g
SHR,8/29/2017 9:05,Pyridaben,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Resmethrin,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,Simazine,< MDL,,1.3,ng/g
SHR,8/29/2017 9:05,tau-Fluvalinate,< MDL,,1.2,ng/g
SHR,8/29/2017 9:05,Tebupirimfos,< MDL,,1.5,ng/g
SHR,8/29/2017 9:05,Tefluthrin,< MDL,,0.7,ng/g
SHR,8/29/2017 9:05,Tetraconazole,< MDL,,1.1,ng/g
SHR,8/29/2017 9:05,Tetramethrin,< MDL,,0.9,ng/g
SHR,8/29/2017 9:05,Thiobencarb,64.6,,0.6,ng/g
