StationCode,DateTime,Analyte,Result,ResultQual,MDL,Units
RCS,10/19/2015 8:15,"3,4-Dichloroaniline",< MDL,,172,ng/g
RCS,10/19/2015 8:15,"3,5-Dichloroaniline",< MDL,,158,ng/g
RCS,10/19/2015 8:15,Acibenzolar-S-methyl,< MDL,,62.3,ng/g
RCS,10/19/2015 8:15,Alachlor,< MDL,,35.3,ng/g
RCS,10/19/2015 8:15,Allethrin,< MDL,,20.8,ng/g
RCS,10/19/2015 8:15,Atrazine,< MDL,,47.8,ng/g
RCS,10/19/2015 8:15,Azinphos-methyl,< MDL,,195,ng/g
RCS,10/19/2015 8:15,Azinphos-methyl oxygen analog,< MDL,,195,ng/g
RCS,10/19/2015 8:15,Azoxystrobin,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,Benfluralin,< MDL,,41.5,ng/g
RCS,10/19/2015 8:15,Bifenthrin,< MDL,,14.5,ng/g
RCS,10/19/2015 8:15,Boscalid,< MDL,,58.2,ng/g
RCS,10/19/2015 8:15,Bromoconazole,< MDL,,66.5,ng/g
RCS,10/19/2015 8:15,Butralin,< MDL,,54,ng/g
RCS,10/19/2015 8:15,Butylate,< MDL,,37.4,ng/g
RCS,10/19/2015 8:15,Captan,< MDL,,212,ng/g
RCS,10/19/2015 8:15,Carbaryl,< MDL,,135,ng/g
RCS,10/19/2015 8:15,Carbofuran,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,Chlorothalonil,< MDL,,85.2,ng/g
RCS,10/19/2015 8:15,Chlorpyrifos,< MDL,,43.6,ng/g
RCS,10/19/2015 8:15,Chlorpyrifos oxon,< MDL,,104,ng/g
RCS,10/19/2015 8:15,Clomazone,< MDL,,51.9,ng/g
RCS,10/19/2015 8:15,Coumaphos,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,Cycloate,< MDL,,22.8,ng/g
RCS,10/19/2015 8:15,Cyfluthrin,< MDL,,20.8,ng/g
RCS,10/19/2015 8:15,Cyhalofop-butyl,< MDL,,39.5,ng/g
RCS,10/19/2015 8:15,Cyhalothrin (all isomers),< MDL,,10.4,ng/g
RCS,10/19/2015 8:15,Cypermethrin,< MDL,,20.8,ng/g
RCS,10/19/2015 8:15,Cyproconazole,< MDL,,97.6,ng/g
RCS,10/19/2015 8:15,Cyprodinil,< MDL,,154,ng/g
RCS,10/19/2015 8:15,DCPA,< MDL,,41.5,ng/g
RCS,10/19/2015 8:15,Deltamethrin,< MDL,,12.5,ng/g
RCS,10/19/2015 8:15,Diazinon,< MDL,,18.7,ng/g
RCS,10/19/2015 8:15,Diazoxon,< MDL,,104,ng/g
RCS,10/19/2015 8:15,Difenoconazole,< MDL,,218,ng/g
RCS,10/19/2015 8:15,Dimethomorph,< MDL,,125,ng/g
RCS,10/19/2015 8:15,Dithiopyr,< MDL,,33.2,ng/g
RCS,10/19/2015 8:15,EPTC,< MDL,,31.2,ng/g
RCS,10/19/2015 8:15,Esfenvalerate,< MDL,,10.4,ng/g
RCS,10/19/2015 8:15,Ethalfluralin,< MDL,,62.3,ng/g
RCS,10/19/2015 8:15,Etofenprox,< MDL,,45.7,ng/g
RCS,10/19/2015 8:15,Famoxadone,< MDL,,51.9,ng/g
RCS,10/19/2015 8:15,Fenamidone,< MDL,,106,ng/g
RCS,10/19/2015 8:15,Fenarimol,< MDL,,135,ng/g
RCS,10/19/2015 8:15,Fenbuconazole,< MDL,,108,ng/g
RCS,10/19/2015 8:15,Fenhexamid,< MDL,,158,ng/g
RCS,10/19/2015 8:15,Fenpropathrin,< MDL,,12.5,ng/g
RCS,10/19/2015 8:15,Fenpyroximate,< MDL,,108,ng/g
RCS,10/19/2015 8:15,Fenthion,< MDL,,114,ng/g
RCS,10/19/2015 8:15,Fipronil,< MDL,,60.2,ng/g
RCS,10/19/2015 8:15,Desulfinylfipronil,< MDL,,33.2,ng/g
RCS,10/19/2015 8:15,Desulfinylfipronil amide,< MDL,,66.5,ng/g
RCS,10/19/2015 8:15,Fipronil sulfide,< MDL,,37.4,ng/g
RCS,10/19/2015 8:15,Fipronil sulfone,< MDL,,72.7,ng/g
RCS,10/19/2015 8:15,Fluazinam,< MDL,,91.4,ng/g
RCS,10/19/2015 8:15,Fludioxonil,< MDL,,152,ng/g
RCS,10/19/2015 8:15,Flufenacet,< MDL,,97.6,ng/g
RCS,10/19/2015 8:15,Flumetralin,< MDL,,120,ng/g
RCS,10/19/2015 8:15,Fluopicolide,< MDL,,81,ng/g
RCS,10/19/2015 8:15,Fluoxastrobin,< MDL,,197,ng/g
RCS,10/19/2015 8:15,Flusilazole,< MDL,,93.5,ng/g
RCS,10/19/2015 8:15,Flutolanil,< MDL,,91.4,ng/g
RCS,10/19/2015 8:15,Flutriafol,< MDL,,87.2,ng/g
RCS,10/19/2015 8:15,Fluxapyroxad,< MDL,,99.7,ng/g
RCS,10/19/2015 8:15,Hexazinone,< MDL,,174,ng/g
RCS,10/19/2015 8:15,Imazalil,< MDL,,218,ng/g
RCS,10/19/2015 8:15,Indoxacarb,< MDL,,102,ng/g
RCS,10/19/2015 8:15,Ipconazole,< MDL,,162,ng/g
RCS,10/19/2015 8:15,Iprodione,< MDL,,91.4,ng/g
RCS,10/19/2015 8:15,Kresoxim-methyl,< MDL,,83.1,ng/g
RCS,10/19/2015 8:15,Malathion,< MDL,,76.9,ng/g
RCS,10/19/2015 8:15,Malaoxon,< MDL,,104,ng/g
RCS,10/19/2015 8:15,Metalaxyl,< MDL,,106,ng/g
RCS,10/19/2015 8:15,Metconazole,< MDL,,108,ng/g
RCS,10/19/2015 8:15,Methidathion,< MDL,,150,ng/g
RCS,10/19/2015 8:15,Methoprene,< MDL,,133,ng/g
RCS,10/19/2015 8:15,Methyl parathion,< MDL,,70.6,ng/g
RCS,10/19/2015 8:15,Metolachlor,< MDL,,31.2,ng/g
RCS,10/19/2015 8:15,Molinate,< MDL,,66.5,ng/g
RCS,10/19/2015 8:15,Myclobutanil,< MDL,,125,ng/g
RCS,10/19/2015 8:15,Napropamide,< MDL,,170,ng/g
RCS,10/19/2015 8:15,Novaluron,< MDL,,60.2,ng/g
RCS,10/19/2015 8:15,Oxadiazon,< MDL,,43.6,ng/g
RCS,10/19/2015 8:15,Oxyfluorfen,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,"p,p'-DDD",< MDL,,85.2,ng/g
RCS,10/19/2015 8:15,"p,p'-DDE",< MDL,,74.8,ng/g
RCS,10/19/2015 8:15,"p,p'-DDT",< MDL,,83.1,ng/g
RCS,10/19/2015 8:15,Paclobutrazol,< MDL,,129,ng/g
RCS,10/19/2015 8:15,Piperonyl butoxide,< MDL,,47.8,ng/g
RCS,10/19/2015 8:15,Pentachloroanisole,< MDL,,97.6,ng/g
RCS,10/19/2015 8:15,Pentachloronitrobenzene,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,Pebulate,< MDL,,47.8,ng/g
RCS,10/19/2015 8:15,Pendimethalin,< MDL,,47.8,ng/g
RCS,10/19/2015 8:15,Permethrin,< MDL,,12.5,ng/g
RCS,10/19/2015 8:15,Phenothrin,< MDL,,20.8,ng/g
RCS,10/19/2015 8:15,Phosmet,< MDL,,91.4,ng/g
RCS,10/19/2015 8:15,Picoxystrobin,< MDL,,87.2,ng/g
RCS,10/19/2015 8:15,Prodiamine,< MDL,,108,ng/g
RCS,10/19/2015 8:15,Prometon,< MDL,,51.9,ng/g
RCS,10/19/2015 8:15,Prometryn,< MDL,,37.4,ng/g
RCS,10/19/2015 8:15,Propanil,< MDL,,210,ng/g
RCS,10/19/2015 8:15,Propargite,< MDL,,127,ng/g
RCS,10/19/2015 8:15,Propiconazole,< MDL,,104,ng/g
RCS,10/19/2015 8:15,Propyzamide,< MDL,,104,ng/g
RCS,10/19/2015 8:15,Pyraclostrobin,< MDL,,60.2,ng/g
RCS,10/19/2015 8:15,Pyridaben,< MDL,,112,ng/g
RCS,10/19/2015 8:15,Pyrimethanil,< MDL,,85.2,ng/g
RCS,10/19/2015 8:15,Quinoxyfen,< MDL,,68.5,ng/g
RCS,10/19/2015 8:15,Resmethrin,< MDL,,20.8,ng/g
RCS,10/19/2015 8:15,Sedaxane,< MDL,,108,ng/g
RCS,10/19/2015 8:15,Simazine,< MDL,,104,ng/g
RCS,10/19/2015 8:15,tau-Fluvalinate,< MDL,,14.5,ng/g
RCS,10/19/2015 8:15,Tebuconazole,< MDL,,76.9,ng/g
RCS,10/19/2015 8:15,Tebupirimfos,< MDL,,39.5,ng/g
RCS,10/19/2015 8:15,Tebupirimfos oxon,< MDL,,58.2,ng/g
RCS,10/19/2015 8:15,Tefluthrin,< MDL,,12.5,ng/g
RCS,10/19/2015 8:15,Tetraconazole,< MDL,,116,ng/g
RCS,10/19/2015 8:15,Tetradifon,< MDL,,78.9,ng/g
RCS,10/19/2015 8:15,Tetramethrin,< MDL,,10.4,ng/g
RCS,10/19/2015 8:15,Thiazopyr,< MDL,,85.2,ng/g
RCS,10/19/2015 8:15,Thiobencarb,< MDL,,39.5,ng/g
RCS,10/19/2015 8:15,Triadimefon,< MDL,,185,ng/g
RCS,10/19/2015 8:15,Triadimenol,< MDL,,166,ng/g
RCS,10/19/2015 8:15,Triallate,< MDL,,49.9,ng/g
RCS,10/19/2015 8:15,Tribufos,< MDL,,64.4,ng/g
RCS,10/19/2015 8:15,Trifloxystrobin,< MDL,,97.6,ng/g
RCS,10/19/2015 8:15,Triflumizole,< MDL,,127,ng/g
RCS,10/19/2015 8:15,Trifluralin,< MDL,,43.6,ng/g
RCS,10/19/2015 8:15,Triticonazole,< MDL,,143,ng/g
RCS,10/19/2015 8:15,Zoxamide,< MDL,,72.7,ng/g
RD22,10/19/2015 9:20,"3,4-Dichloroaniline",< MDL,,129,ng/g
RD22,10/19/2015 9:20,"3,5-Dichloroaniline",< MDL,,118,ng/g
RD22,10/19/2015 9:20,Acibenzolar-S-methyl,< MDL,,46.7,ng/g
RD22,10/19/2015 9:20,Alachlor,< MDL,,26.5,ng/g
RD22,10/19/2015 9:20,Allethrin,< MDL,,15.6,ng/g
RD22,10/19/2015 9:20,Atrazine,< MDL,,35.8,ng/g
RD22,10/19/2015 9:20,Azinphos-methyl,< MDL,,146,ng/g
RD22,10/19/2015 9:20,Azinphos-methyl oxygen analog,< MDL,,146,ng/g
RD22,10/19/2015 9:20,Azoxystrobin,< MDL,,48.3,ng/g
RD22,10/19/2015 9:20,Benfluralin,< MDL,,31.2,ng/g
RD22,10/19/2015 9:20,Bifenthrin,< MDL,,10.9,ng/g
RD22,10/19/2015 9:20,Boscalid,< MDL,,43.6,ng/g
RD22,10/19/2015 9:20,Bromoconazole,< MDL,,49.9,ng/g
RD22,10/19/2015 9:20,Butralin,< MDL,,40.5,ng/g
RD22,10/19/2015 9:20,Butylate,< MDL,,28,ng/g
RD22,10/19/2015 9:20,Captan,< MDL,,159,ng/g
RD22,10/19/2015 9:20,Carbaryl,< MDL,,101,ng/g
RD22,10/19/2015 9:20,Carbofuran,< MDL,,48.3,ng/g
RD22,10/19/2015 9:20,Chlorothalonil,< MDL,,63.9,ng/g
RD22,10/19/2015 9:20,Chlorpyrifos,< MDL,,32.7,ng/g
RD22,10/19/2015 9:20,Chlorpyrifos oxon,< MDL,,77.9,ng/g
RD22,10/19/2015 9:20,Clomazone,< MDL,,39,ng/g
RD22,10/19/2015 9:20,Coumaphos,< MDL,,48.3,ng/g
RD22,10/19/2015 9:20,Cycloate,< MDL,,17.1,ng/g
RD22,10/19/2015 9:20,Cyfluthrin,< MDL,,15.6,ng/g
RD22,10/19/2015 9:20,Cyhalofop-butyl,< MDL,,29.6,ng/g
RD22,10/19/2015 9:20,Cyhalothrin (all isomers),< MDL,,7.8,ng/g
RD22,10/19/2015 9:20,Cypermethrin,< MDL,,15.6,ng/g
RD22,10/19/2015 9:20,Cyproconazole,< MDL,,73.2,ng/g
RD22,10/19/2015 9:20,Cyprodinil,< MDL,,115,ng/g
RD22,10/19/2015 9:20,DCPA,< MDL,,31.2,ng/g
RD22,10/19/2015 9:20,Deltamethrin,< MDL,,9.3,ng/g
RD22,10/19/2015 9:20,Diazinon,< MDL,,14,ng/g
RD22,10/19/2015 9:20,Diazoxon,< MDL,,77.9,ng/g
RD22,10/19/2015 9:20,Difenoconazole,< MDL,,164,ng/g
RD22,10/19/2015 9:20,Dimethomorph,< MDL,,93.5,ng/g
RD22,10/19/2015 9:20,Dithiopyr,< MDL,,24.9,ng/g
RD22,10/19/2015 9:20,EPTC,< MDL,,23.4,ng/g
RD22,10/19/2015 9:20,Esfenvalerate,< MDL,,7.8,ng/g
RD22,10/19/2015 9:20,Ethalfluralin,< MDL,,46.7,ng/g
RD22,10/19/2015 9:20,Etofenprox,< MDL,,34.3,ng/g
RD22,10/19/2015 9:20,Famoxadone,< MDL,,39,ng/g
RD22,10/19/2015 9:20,Fenamidone,< MDL,,79.5,ng/g
RD22,10/19/2015 9:20,Fenarimol,< MDL,,101,ng/g
RD22,10/19/2015 9:20,Fenbuconazole,< MDL,,81,ng/g
RD22,10/19/2015 9:20,Fenhexamid,< MDL,,118,ng/g
RD22,10/19/2015 9:20,Fenpropathrin,< MDL,,9.3,ng/g
RD22,10/19/2015 9:20,Fenpyroximate,< MDL,,81,ng/g
RD22,10/19/2015 9:20,Fenthion,< MDL,,85.7,ng/g
RD22,10/19/2015 9:20,Fipronil,< MDL,,45.2,ng/g
RD22,10/19/2015 9:20,Desulfinylfipronil,< MDL,,24.9,ng/g
RD22,10/19/2015 9:20,Desulfinylfipronil amide,< MDL,,49.9,ng/g
RD22,10/19/2015 9:20,Fipronil sulfide,< MDL,,28,ng/g
RD22,10/19/2015 9:20,Fipronil sulfone,< MDL,,54.5,ng/g
RD22,10/19/2015 9:20,Fluazinam,< MDL,,68.6,ng/g
RD22,10/19/2015 9:20,Fludioxonil,< MDL,,114,ng/g
RD22,10/19/2015 9:20,Flufenacet,< MDL,,73.2,ng/g
