"","x"
"1","Age-0 Striped Bass"
"2","Delta Smelt"
"3","Splittail"
"4","White Catfish"
"5","Yellowfin Goby"
"6","Channel Catfish"
"7","American Shad"
"8","Shimofuri Goby"
"9","Longfin Smelt"
"10","Wakasagi"
"11","Gobies (Unid)"
"12","Threadfin Shad"
"13","Shokihaze Goby"
"14","Tridentiger spp_"
"15","Chinook Salmon"
"16","Mississippi Silverside"
"17","Goldfish"
"18","Unknown"
"19","Smelt (Unid)"
"20","Cyprinids (Unid)"
"21","Siberian prawn"
"22","Green Sunfish"
"23","Crangon"
"24","Pacific Herring"
"25","Age-1 striped bass"
"26","Carp"
"27","Bigscale Logperch"
"28","Three Spine Stickleback"
"29","Largemouth Bass"
"30","Palaemon"
"31","Striped Bass Adult"
"32","Herring (Unid)"
"33","Maeotias"
"34","Age-2 striped bass"
"35","Rainwater Killifish"
"36","Centrarchids (Unid)"
"37","Black Crappie"
"38","Starry Flounder"
"39","White Crappie"
"40","Bluegill"
"41","Prickly Sculpin"
"42","Catfish (Unid)"
