MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.11-01,AB,Moderate sediment.,elliptic prism,323.65,,,,,,,,,
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,7.4,i,BSA.11-01,AB,Moderate sediment.,cylinder,123.40,,,,,,,,,
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,586,Navicula gregaria,Diatom,Navicula,gregaria,,1,1,35.2,i,BSA.11-01,AB,Moderate sediment.,elliptic prism,818.32,,,,,,,,,
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,1119,Lagerheimia genevensis,Soft Body,Lagerheimia,genevensis,,1,1,7,i,BSA.11-01,AB,Moderate sediment.,ellipsoid,54.98,,,,,,,,,
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,11.1,i,BSA.11-01,AB,Moderate sediment.,cone + half sphere,551.58,,,,,,,,,
Phyto,11/10/2021,9:20,D26,62,4,6.45%,0.0683,314.159,3.0735,45,25.55,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,395,790,0.8,c,BSA.11-01,AB,Moderate sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,8.4,i,BSA.11-02,AB,Moderate sediment and low detritus.,cylinder,221.67,,,,,,,,,
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,19.5,i,BSA.11-02,AB,Moderate sediment and low detritus.,prism on parallelogram,68.25,,,,,,,,,
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,18,i,BSA.11-02,AB,Moderate sediment and low detritus.,prolate spheroid,815.15,,,,,,,,,
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,11,11,9.5,i,BSA.11-02,AB,Moderate sediment and low detritus.,cone + half sphere,247.79,,,,,,,,,
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,11,11,6,i,BSA.11-02,AB,Moderate sediment and low detritus.,cone + half sphere,83.67,,,,,,,,,
Phyto,11/10/2021,12:10,P8,57,7,12.28%,0.0683,314.159,1.9807,29,22.66,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,375,750,0.8,c,BSA.11-02,AB,Moderate sediment and low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/12/2021,13:15,D22,59,3,5.08%,0.0683,314.159,1.7075,25,61.33,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,40.7,i,BSA.11-03,AB,Moderate sediment and low detritus. ,elliptic prism,1956.30,,,,,,,,,
Phyto,11/12/2021,13:15,D22,59,3,5.08%,0.0683,314.159,1.7075,25,61.33,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,i,BSA.11-03,AB,Moderate sediment and low detritus. ,prism on parallelogram,77.24,,,,,,,,,
Phyto,11/12/2021,13:15,D22,59,3,5.08%,0.0683,314.159,1.7075,25,61.33,846,Planothidium sp.,Diatom,Planothidium,sp.,,1,1,8,i,BSA.11-03,AB,Moderate sediment and low detritus. ,elliptic prism,75.40,,,,,,,,,
Phyto,11/12/2021,13:15,D22,59,3,5.08%,0.0683,314.159,1.7075,25,61.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,8,i,BSA.11-03,AB,Moderate sediment and low detritus. ,cone + half sphere,201.06,,,,,,,,,
Phyto,11/12/2021,13:15,D22,59,3,5.08%,0.0683,314.159,1.7075,25,61.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,396,792,0.8,c,BSA.11-03,AB,Moderate sediment and low detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,3,23.1,i,BSA.11-04,AB,Low sediment and detritus.,elliptic prism,290.28,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,16.7,i,BSA.11-04,AB,Low sediment and detritus.,cylinder,485.23,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,42.6,i,BSA.11-04,AB,Low sediment and detritus.,prism on parallelogram,882.67,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,2,2,18.5,i,BSA.11-04,AB,Low sediment and detritus.,prism on parallelogram,66.79,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,1349,Cryptomonas cf. ovata,Soft Body,Cryptomonas,ovata,,5,5,20.4,i,BSA.11-04,AB,Low sediment and detritus.,prolate spheroid,878.24,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,11.6,i,BSA.11-04,AB,Low sediment and detritus.,cone + half sphere,577.39,,,,,,,,,
Phyto,11/10/2021,10:45,MD10A,59,7,11.86%,0.0683,314.159,2.5954,38,17.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,381,762,0.8,c,BSA.11-04,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,4,4,11.1,i,BSA.11-05,AB,Low detritus. ,cylinder,329.72,,,,,,,,,
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,3,3,10.4,i,BSA.11-05,AB,Low detritus. ,cylinder + 2 half spheres,345.10,,,,,,,,,
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,2,2,5,i,BSA.11-05,AB,Low detritus. ,prolate spheroid,41.56,,,,,,,,,
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,1324,Ochromonas sp.,Soft Body,Ochromonas,sp.,,3,3,7,i,BSA.11-05,AB,Low detritus. ,cone + half sphere,112.15,,,,,,,,,
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,25,25,11,i,BSA.11-05,AB,Low detritus. ,cone + half sphere,342.36,,,,,,,,,
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,367,734,0.8,c,BSA.11-05,AB,Low detritus. ,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/17/2021,12:30,D41,59,6,10.17%,0.0683,314.159,2.1856,32,23.96,1555,Lepocinclis sp.,Soft Body,Lepocinclis,sp.,,2,2,24.1,i,BSA.11-05,AB,Low detritus. ,2 cones,760.47,,,,,,,,,
Phyto,11/9/2021,8:50,D12,58,3,5.17%,0.0683,314.159,0.8879,13,117.94,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,24.6,i,BSA.11-06,AB,High sediment and moderate detritus.,cymbelloid,262.45,,,,,,,,,
Phyto,11/9/2021,8:50,D12,58,3,5.17%,0.0683,314.159,0.8879,13,117.94,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,15.6,i,BSA.11-06,AB,High sediment and moderate detritus.,prism on parallelogram,68.25,,,,,,,,,
Phyto,11/9/2021,8:50,D12,58,3,5.17%,0.0683,314.159,0.8879,13,117.94,1349,Cryptomonas cf. ovata,Soft Body,Cryptomonas,ovata,,2,2,18,i,BSA.11-06,AB,High sediment and moderate detritus.,prolate spheroid,857.22,,,,,,,,,
Phyto,11/9/2021,8:50,D12,58,3,5.17%,0.0683,314.159,0.8879,13,117.94,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,5.6,i,BSA.11-06,AB,High sediment and moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,11/9/2021,8:50,D12,58,3,5.17%,0.0683,314.159,0.8879,13,117.94,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,802,0.8,c,BSA.11-06,AB,High sediment and moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,10.4,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,elliptic prism,79.64,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,19,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,elliptic prism,331.28,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,18,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,elliptic prism,339.29,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,9.3,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,cylinder,237.75,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,631,cf. Navicula sp.,Diatom,Navicula,sp.,,1,1,16,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,elliptic prism,281.49,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,1806,Chrysochromulina sp.,Soft Body,Chrysochromulina,sp.,,4,4,4,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,prolate spheroid,25.79,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,6,6,9.3,i,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,cone + half sphere,327.95,,,,,,,,,
Phyto,11/9/2021,12:00,D19,60,5,8.33%,0.0683,314.159,1.4343,21,43.81,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,c,BSA.11-07,AB,Moderate sediment. Many broken diatoms.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,6,6,8,i,BSA.11-08,AB,Low detritus.,cylinder,153.94,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,33.3,i,BSA.11-08,AB,Low detritus.,prism on parallelogram,224.78,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,846,cf. Planothidium sp.,Diatom,Planothidium,sp.,,1,1,10.1,i,BSA.11-08,AB,Low detritus.,elliptic prism,55.53,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,1020,Carteria sp.,Soft Body,Carteria,sp.,,3,3,6,i,BSA.11-08,AB,Low detritus.,sphere,38.68,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,1248,cf. Sphaerocystis sp.,Soft Body,Sphaerocystis,sp.,,1,4,2.2,c,BSA.11-08,AB,Low detritus.,sphere,5.58,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,22,22,11.4,i,BSA.11-08,AB,Low detritus.,cone + half sphere,430.35,,,,,,,,,
Phyto,11/8/2021,10:00,C9,62,7,11.29%,0.0683,314.159,2.5954,38,17.29,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,375,750,0.8,c,BSA.11-08,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,11/9/2021,9:50,EZ2-SJR,59,5,8.47%,0.0683,314.159,1.6392,24,38.33,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,38.9,i,BSA.11-09,AB,Moderate sediment and detritus.,elliptic prism,1275.54,,,,,,,,,
Phyto,11/9/2021,9:50,EZ2-SJR,59,5,8.47%,0.0683,314.159,1.6392,24,38.33,631,Navicula sp.,Diatom,Navicula,sp.,,2,2,16.7,i,BSA.11-09,AB,Moderate sediment and detritus.,elliptic prism,92.31,,,,,,,,,
