MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Organisms per mL,Total Cells Counted,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,4,257.39,4,16.8,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",elliptic prism,70.20,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,2,128.69,2,74.8,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",box,1549.86,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,3,193.04,3,31.8,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",elliptic prism,1552.49,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,2,128.69,2,5.6,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",cylinder,91.13,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,272,Diatoma moniliformis,Diatom,Diatoma,moniliformis,,1,64.35,1,9.3,i,BSA.11-01,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",elliptic prism,151.34,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,309,Encyonema silesiacum,Diatom,Encyonema,silesiacum,,2,128.69,2,32.7,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",cymbelloid,415.56,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,559,Navicula capitatoradiata,Diatom,Navicula,capitatoradiata,,1,64.35,1,28,i,BSA.11-01,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",elliptic prism,923.63,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,632,Navicula spp.,Diatom,Navicula,spp.,,2,128.69,2,21.5,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",elliptic prism,349.88,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,5,321.74,5,22.4,i,BSA.11-01,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",prism on parallelogram,232.06,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,3,193.04,3,14,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",box,227.83,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,961,Synedra berolinensis,Diatom,Synedra,berolinensis,,2,128.69,2,9.3,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",box,99.99,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,976,Synedra ulna,Diatom,Synedra,ulna,,21,1351.29,21,7.5,i,BSA.11-01,KS,"Fragment. High sediment, moderate detritus, many diatom fragments. ",box,122.05,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,64.35,1,7.5,i,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",sphere,220.89,,,,,,,,,,
Phyto,11/7/13,9:15,C3A,39,10,25.64%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,376,24194.51,749,0.85,c,BSA.11-01,KS,"High sediment, moderate detritus, many diatom fragments. ",sphere,0.27,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.27,0.38,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,57,Adlafia sp.,Diatom,Adlafia,sp.,,1,64.35,1,9.3,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,65.23,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,64.35,1,67.3,i,BSA.11-02,KS,Moderate sediment and detritus.,box,1170.35,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,64.35,1,19.6,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,637.92,,,,,,,,,,
Phyto,11/7/13,12:23,C10A,35,10,28.57%,0.0697,314.159,0.488225493,7,64.35,152,Craticula buderi,Diatom,Craticula,buderi,,1,64.35,1,26.2,i,BSA.11-02,KS,Moderate sediment and detritus.,elliptic prism,864.25,,,,,,,,,,
