,X,Station.Code,Date,Time,Classification,Organism,Count,Subsample,VolMeso,SubMeso,VolMicro,SubMicro,StartMeter,EndMeter,FlowMeterSpeed,CPUE
110,110,BL5,8/7/2019,11:59:00,Calanoids,Calanoid copepodid,230,1,38,1,38,6,982387,986000,Low,214.1472916
117,117,BL5,8/7/2019,11:59:00,Calanoids,Pseudodiaptomus forbesi adult,3,1,38,1,38,6,982387,986000,Low,2.793225543
120,120,BL5,8/7/2019,11:59:00,Calanoids,Sinocalanus doerrii copepodid,3,1,38,1,38,6,982387,986000,Low,2.793225543
124,124,BL5,8/7/2019,11:59:00,Cladocera,Alona,2,1,38,1,38,6,982387,986000,Low,1.862150362
127,127,BL5,8/7/2019,11:59:00,Cladocera,Bosmina,1,1,38,1,38,6,982387,986000,Low,0.931075181
128,128,BL5,8/7/2019,11:59:00,Cladocera,Camptocercus,5,1,38,1,38,6,982387,986000,Low,4.655375904
130,130,BL5,8/7/2019,11:59:00,Cladocera,Chydorus,7,1,38,1,38,6,982387,986000,Low,6.517526266
132,132,BL5,8/7/2019,11:59:00,Cladocera,Diaphanosoma,1,1,38,1,38,6,982387,986000,Low,0.931075181
134,134,BL5,8/7/2019,11:59:00,Cladocera,Eurycercus,1,1,38,1,38,6,982387,986000,Low,0.931075181
136,136,BL5,8/7/2019,11:59:00,Cladocera,Ilyocryptus,1,1,38,1,38,6,982387,986000,Low,0.931075181
142,142,BL5,8/7/2019,11:59:00,Cladocera,Picripleuroxus,1,1,38,1,38,6,982387,986000,Low,0.931075181
90,90,BL5,8/7/2019,11:59:00,Cyclopoids,Cyclopoid copepodid,5,1,38,1,38,6,982387,986000,Low,4.655375904
99,99,BL5,8/7/2019,11:59:00,Cyclopoids,Microcyclops rubellus,1,1,38,1,38,6,982387,986000,Low,0.931075181
148,148,BL5,8/7/2019,11:59:00,Harpacticoids,Harpacticoids,1,1,38,1,38,6,982387,986000,Low,0.931075181
84,84,BL5,8/7/2019,11:59:00,Microzooplankton_Nauplii,Copepod nauplii,3,1,38,1,38,6,982387,986000,Low,0.46553759
85,85,BL5,8/7/2019,11:59:00,Microzooplankton_Nauplii,Ostracods,48,1,38,1,38,6,982387,986000,Low,7.448601447
83,83,BL5,8/7/2019,11:59:00,Microzooplankton_Nauplii,Rotifers,176,1,38,1,38,6,982387,986000,Low,27.31153864
192,192,BL5,8/21/2019,11:35:00,Calanoids,Calanoid copepodid,176,1,68,0.4,68,2.5,935973,939500,Low,750.9745936
199,199,BL5,8/21/2019,11:35:00,Calanoids,Pseudodiaptomus forbesi adult,4,1,68,0.4,68,2.5,935973,939500,Low,17.0676044
206,206,BL5,8/21/2019,11:35:00,Cladocera,Alona,1,1,68,0.4,68,2.5,935973,939500,Low,4.2669011
209,209,BL5,8/21/2019,11:35:00,Cladocera,Bosmina,6,1,68,0.4,68,2.5,935973,939500,Low,25.6014066
210,210,BL5,8/21/2019,11:35:00,Cladocera,Camptocercus,15,1,68,0.4,68,2.5,935973,939500,Low,64.0035165
211,211,BL5,8/21/2019,11:35:00,Cladocera,Ceriodaphnia,1,1,68,0.4,68,2.5,935973,939500,Low,4.2669011
212,212,BL5,8/21/2019,11:35:00,Cladocera,Chydorus,17,1,68,0.4,68,2.5,935973,939500,Low,72.5373187
214,214,BL5,8/21/2019,11:35:00,Cladocera,Diaphanosoma,6,1,68,0.4,68,2.5,935973,939500,Low,25.6014066
219,219,BL5,8/21/2019,11:35:00,Cladocera,Kurzia,1,1,68,0.4,68,2.5,935973,939500,Low,4.2669011
169,169,BL5,8/21/2019,11:35:00,Cyclopoids,Acanthocyclops vernalis adult,2,1,68,0.4,68,2.5,935973,939500,Low,8.5338022
172,172,BL5,8/21/2019,11:35:00,Cyclopoids,Cyclopoid copepodid,4,1,68,0.4,68,2.5,935973,939500,Low,17.0676044
180,180,BL5,8/21/2019,11:35:00,Cyclopoids,Mesocyclops edax,1,1,68,0.4,68,2.5,935973,939500,Low,4.2669011
181,181,BL5,8/21/2019,11:35:00,Cyclopoids,Microcyclops rubellus,1,1,68,0.4,68,2.5,935973,939500,Low,4.2669011
166,166,BL5,8/21/2019,11:35:00,Microzooplankton_Nauplii,Copepod nauplii,46,1,68,0.4,68,2.5,935973,939500,Low,31.4043921
167,167,BL5,8/21/2019,11:35:00,Microzooplankton_Nauplii,Ostracods,52,1,68,0.4,68,2.5,935973,939500,Low,35.50061715
165,165,BL5,8/21/2019,11:35:00,Microzooplankton_Nauplii,Rotifers,143,1,68,0.4,68,2.5,935973,939500,Low,97.62669717
273,273,BL5,9/4/2019,11:23:00,Calanoids,Calanoid copepodid,179,1,45,0.2,45,6.5,845225,848400,Low,1122.951332
281,281,BL5,9/4/2019,11:23:00,Calanoids,Pseudodiaptomus forbesi adult,17,1,45,0.2,45,6.5,845225,848400,Low,106.6490092
290,290,BL5,9/4/2019,11:23:00,Cladocera,Bosmina,3,1,45,0.2,45,6.5,845225,848400,Low,18.82041338
291,291,BL5,9/4/2019,11:23:00,Cladocera,Camptocercus,2,1,45,0.2,45,6.5,845225,848400,Low,12.54694225
292,292,BL5,9/4/2019,11:23:00,Cladocera,Ceriodaphnia,4,1,45,0.2,45,6.5,845225,848400,Low,25.09388451
293,293,BL5,9/4/2019,11:23:00,Cladocera,Chydorus,1,1,45,0.2,45,6.5,845225,848400,Low,6.273471127
295,295,BL5,9/4/2019,11:23:00,Cladocera,Diaphanosoma,6,1,45,0.2,45,6.5,845225,848400,Low,37.64082676
253,253,BL5,9/4/2019,11:23:00,Cyclopoids,Cyclopoid copepodid,1,1,45,0.2,45,6.5,845225,848400,Low,6.273471127
248,248,BL5,9/4/2019,11:23:00,Microzooplankton_Nauplii,Copepod nauplii,42,1,45,0.2,45,6.5,845225,848400,Low,8.107254994
249,249,BL5,9/4/2019,11:23:00,Microzooplankton_Nauplii,Ostracods,89,1,45,0.2,45,6.5,845225,848400,Low,17.17965939
247,247,BL5,9/4/2019,11:23:00,Microzooplankton_Nauplii,Rotifers,172,1,45,0.2,45,6.5,845225,848400,Low,33.2011395
356,356,BL5,9/18/2019,10:57:00,Calanoids,Calanoid copepodid,110,1,97,0.7,97,0.7,801233,804410,Low,424.7352243
364,364,BL5,9/18/2019,10:57:00,Calanoids,Pseudodiaptomus forbesi adult,18,1,97,0.7,97,0.7,801233,804410,Low,69.50212762
370,370,BL5,9/18/2019,10:57:00,Cladocera,Alona,2,1,97,0.7,97,0.7,801233,804410,Low,7.722458625
372,372,BL5,9/18/2019,10:57:00,Cladocera,Bosmina,3,1,97,0.7,97,0.7,801233,804410,Low,11.58368794
373,373,BL5,9/18/2019,10:57:00,Cladocera,Camptocercus,10,1,97,0.7,97,0.7,801233,804410,Low,38.61229312
374,374,BL5,9/18/2019,10:57:00,Cladocera,Ceriodaphnia,12,1,97,0.7,97,0.7,801233,804410,Low,46.33475175
375,375,BL5,9/18/2019,10:57:00,Cladocera,Chydorus,1,1,97,0.7,97,0.7,801233,804410,Low,3.861229312
377,377,BL5,9/18/2019,10:57:00,Cladocera,Diaphanosoma,19,1,97,0.7,97,0.7,801233,804410,Low,73.36335693
380,380,BL5,9/18/2019,10:57:00,Cladocera,Graptoleberis,4,1,97,0.7,97,0.7,801233,804410,Low,15.44491725
381,381,BL5,9/18/2019,10:57:00,Cladocera,Ilyocryptus,2,1,97,0.7,97,0.7,801233,804410,Low,7.722458625
333,333,BL5,9/18/2019,10:57:00,Cyclopoids,Cyclopoid copepodid,12,1,97,0.7,97,0.7,801233,804410,Low,46.33475175
337,337,BL5,9/18/2019,10:57:00,Cyclopoids,Eucyclops pectinifer,1,1,97,0.7,97,0.7,801233,804410,Low,3.861229312
343,343,BL5,9/18/2019,10:57:00,Cyclopoids,Macrocyclops albidus,4,1,97,0.7,97,0.7,801233,804410,Low,15.44491725
