"","Date","Year","Month","DateTime","Time","StationCode","WaterTemp","Secchi","EC","SpCnd","pH","DO","Turbidity","FlowMeterSpeed","StartMeter","EndMeter","VolMeso","SubMeso","VolMicro","SubMicro","Subsample","OrganismID","Classification","Organism","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Genus","Species","TaxonName","TaxonRank","CommonName","LifeStage","Count","CPUEZoop","WYType","FlowPulseType","NetFlowDays","SamplePeriod","Region"
"1","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,1,"Microzooplankton_Nauplii","Rotifers","Rotifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotifera","Phylum","Rotifer",NA,37,137.645126303226,"W","NF",63,"Before","SHR"
"2","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,6,"Microzooplankton_Nauplii","Ostracods","Arthropoda","Crustacea","Ostracoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ostracoda","Class","Ostracod",NA,4,14.8805541949434,"W","NF",63,"Before","SHR"
"3","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,7,"Cyclopoids","Cyclopoid adult","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea","Cyclopoida",NA,NA,NA,NA,NA,NA,"Cyclopoida","Order","Cyclopoid","adult",13,48.3618011335659,"W","NF",63,"Before","SHR"
"4","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,8,"Cyclopoids","Cyclopoid copepodid","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea","Cyclopoida",NA,NA,NA,NA,NA,NA,"Cyclopoida","Order","Cyclopoid","copepodid",64,238.088867119094,"W","NF",63,"Before","SHR"
"5","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,9,"Cyclopoids","Acanthocyclops vernalis copepodid","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea","Cyclopoida",NA,NA,NA,"Cyclopidae","Acanthocyclops","vernalis","Acanthocyclops vernalis","Species","Acanthocyclops vernalis","copepodid",5,18.6006927436792,"W","NF",63,"Before","SHR"
"6","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,10,"Cyclopoids","Acanthocyclops vernalis adult","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Podoplea","Cyclopoida",NA,NA,NA,"Cyclopidae","Acanthocyclops","vernalis","Acanthocyclops vernalis","Species","Acanthocyclops vernalis","adult",1,3.72013854873584,"W","NF",63,"Before","SHR"
"7","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,27,"Calanoids","Sinocalanus doerrii adult","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida",NA,NA,NA,"Centropagidae","Sinocalanus","doerrii","Sinocalanus doerrii","Species","Sinocalanus doerrii","adult",1,3.72013854873584,"W","NF",63,"Before","SHR"
"8","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,28,"Calanoids","Sinocalanus doerrii copepodid","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida",NA,NA,NA,"Centropagidae","Sinocalanus","doerrii","Sinocalanus doerrii","Species","Sinocalanus doerrii","copepodid",1,3.72013854873584,"W","NF",63,"Before","SHR"
"9","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,33,"Calanoids","Osphranticum labronectum","Arthropoda","Crustacea","Hexanauplia","Copepoda","Neocopepoda","Gymnoplea","Calanoida",NA,NA,NA,"Centropagidae","Osphranticum","labronectum","Osphranticum labronectum","Species","Osphranticum labronectum",NA,1,3.72013854873584,"W","NF",63,"Before","SHR"
"10","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,35,"Cladocera","Bosmina","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Anomopoda",NA,"Bosminidae","Bosmina","longirostris","Bosmina longirostris","Species","Bosmina longirostris",NA,90,334.812469386226,"W","NF",63,"Before","SHR"
"11","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,36,"Cladocera","Ceriodaphnia","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Anomopoda",NA,"Daphniidae","Ceriodaphnia",NA,"Ceriodaphnia sp.","Genus","Ceriodaphnia sp.",NA,13,48.3618011335659,"W","NF",63,"Before","SHR"
"12","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,41,"Cladocera","Diaphanosoma","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Ctenopoda",NA,"Sididae","Diaphanosoma",NA,"Diaphanosoma sp.","Genus","Diaphanosoma sp.",NA,4,14.8805541949434,"W","NF",63,"Before","SHR"
"13","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,43,"Cladocera","Alona","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Anomopoda",NA,"Chydoridae","Alona",NA,"Alona sp.","Genus","Alona sp.",NA,8,29.7611083898867,"W","NF",63,"Before","SHR"
"14","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,44,"Cladocera","Ilyocryptus","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Anomopoda",NA,"Ilyocryptidae","Ilyocryptus",NA,"Ilyocryptus sp.","Genus","Ilyocryptus sp.",NA,6,22.320831292415,"W","NF",63,"Before","SHR"
"15","2011-07-26","2011",7,"7/26/2011 4:20","8:20:00","SHR",20.4,1.08,127,NA,7.92,9.68,NA,"Regular",228056,229755,200,1,200,1,6,45,"Cladocera","Macrothrix","Arthropoda","Crustacea","Branchiopoda","Phyllopoda",NA,NA,"Diplostraca","Cladocera","Anomopoda",NA,"Macrothricidae","Macrothrix",NA,"Macrothrix sp.","Genus","Macrothrix sp.",NA,1,3.72013854873584,"W","NF",63,"Before","SHR"
