Experiment,Location,Date,Cage ID,Tag,Fullness,Digestion,Total Contents Weight,Prey Taxa,LH Stage,Count,Taxa Weight,Comments
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RL25,4,4,0.0011,Americorophium spinicorne,adult,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RL25,4,4,0.0011,Americorophium sp.,juvenile,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RL25,4,4,0.0011,Acanthocyclops sp.,adult,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RL45,5,5,0.0053,Americorophium spinicorne,adult,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RC01,3,5,0.0007,Americorophium sp.,juvenile,5,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RC01,3,5,0.0007,Pseudodiaptomus forbesi,adult,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RC01,3,5,0.0007,Calanoida,copepodid,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RC01,3,5,0.0007,Macrocyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RA42,6,6,0.0165,Fish,eggs,37,,"These were adhering in a single cluster, see photo"
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 2,RC80,4,5,0.0037,Fish,eggs,13,,same as above
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RF42,4,6,0.0033,Americorophium spinicorne,adult,2,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RF42,4,6,0.0033,Americorophium sp.,juvenile,3,,
Cage Prototypes,Sac DWSC,3/22/2019,FCCL Control Tank 1,RF42,4,6,0.0033,Pseudodiaptomus forbesi,adult,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RK73,3,4,0.0014,Fish,eggs,3,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RK73,3,4,0.0014,Diacyclops thomasi,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RK73,3,4,0.0014,Eucyclops sp.,undetermined,1,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RK73,3,4,0.0014,Cyclopoida,copepodid,4,,
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Bosmina sp.,undetermined,1,,about half of diet appeared to be detritus--see photo
Cage Prototypes,Sac DWSC,3/27/2019,F,RI08,4,4,0.002,Chydorus sp.,undetermined,1,,
