MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,3/3/2016,11:03,D26,61,3,4.92%,0.0697,314.159,0.348732495,5,300.29,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,6.5,i,BSA.03-01,KS,Moderate sediment. Many broken diatoms.,prism on parallelogram,25.48,,,,,,,,,
Phyto,3/3/2016,11:03,D26,61,3,4.92%,0.0697,314.159,0.348732495,5,300.29,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,9.3,i,BSA.03-01,KS,Moderate sediment. Many broken diatoms.,sphere,323.33,,,,,,,,,
Phyto,3/3/2016,11:03,D26,61,3,4.92%,0.0697,314.159,0.348732495,5,300.29,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,7.4,i,BSA.03-01,KS,Moderate sediment. Many broken diatoms.,cone + half sphere,159.13,,,,,,,,,
Phyto,3/3/2016,11:03,D26,61,3,4.92%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,511,1020,0.7,c,BSA.03-01,KS,Moderate sediment. Many broken diatoms.,sphere,0.27,0.27,0.27,0.27,0.27,0.11,0.11,0.11,0.11,0.11
Phyto,3/3/2016,11:03,D26,61,3,4.92%,0.0697,314.159,0.348732495,5,300.29,1678,cf. Synechococcus salinarum,Soft Body,Synechococcus,salinarum,,1031,1031,1.5,i,BSA.03-01,KS,Moderate sediment. Many broken diatoms.,sphere,4.19,4.19,0.52,0.52,4.19,4.19,0.52,0.52,4.19,4.19
Phyto,3/4/2016,11:55,D4,66,2,3.03%,0.0697,314.159,0.418478994,6,375.36,99,Bacillaria paxillifera,Diatom,Bacillaria,paxillifera,,1,1,9.3,i,BSA.03-02,KS,Fragment. Low detritus. Many broken diatoms.,box,144.52,,,,,,,,,
Phyto,3/4/2016,11:55,D4,66,2,3.03%,0.0697,314.159,0.418478994,6,375.36,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,13,i,BSA.03-02,KS,Girdle view. Low detritus. Many broken diatoms.,cylinder,1234.41,,,,,,,,,
Phyto,3/4/2016,11:55,D4,66,2,3.03%,0.0697,314.159,0.418478994,6,375.36,1732,Entomoneis paludosa,Diatom,Entomoneis,paludosa,,1,1,40.7,i,BSA.03-02,KS,Low detritus. Many broken diatoms.,elliptic prism,9651.08,,,,,,,,,
Phyto,3/4/2016,11:55,D4,66,2,3.03%,0.0697,314.159,0.418478994,6,375.36,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,5.6,i,BSA.03-02,KS,Low detritus. Many broken diatoms.,cylinder,91.13,,,,,,,,,
Phyto,3/4/2016,11:55,D4,66,2,3.03%,0.0697,314.159,0.418478994,6,375.36,1365,Rhodomonas lacustris,Soft Body,Rhodomonas,lacustris,,3,3,11.1,i,BSA.03-02,KS,Low detritus. Many broken diatoms.,cone + half sphere,567.71,,,,,,,,,
