MethodCode,Year,Month,OperationTimeHRS,Comments
FKTR,1999,Nov,681.5,
FKTR,1999,Dec,729.84,
FKTR,2000,Jan,683.75,
FKTR,2000,Feb,323.67,
FKTR,2000,Mar,226.75,
FKTR,2000,Apr,720,
FKTR,2000,May,744,
FKTR,2000,Jun,704.92,
FKTR,2000,Sep,106.5,
FKTR,2000,Oct,742.28,
FKTR,2000,Nov,720,
FKTR,2000,Dec,740,
FKTR,2001,Jan,744,
FKTR,2001,Feb,646.14,
FKTR,2001,Mar,744,
FKTR,2001,Apr,720,
FKTR,2001,May,744,
FKTR,2001,Jun,680.5,
FKTR,2001,Sep,62.8,
FKTR,2001,Oct,744,
FKTR,2001,Nov,720,
FKTR,2001,Dec,743.88,
FKTR,2002,Jan,672.88,
FKTR,2002,Feb,672,
FKTR,2002,Mar,744,
FKTR,2002,Apr,720,
FKTR,2002,May,744,
FKTR,2002,Jun,562.93,
FKTR,2002,Sep,14.75,
FKTR,2002,Oct,741.87,
FKTR,2002,Nov,720,
FKTR,2002,Dec,371.5,
FKTR,2003,Jan,612,
FKTR,2003,Feb,600.25,
FKTR,2003,Mar,744,
FKTR,2003,Apr,720,
FKTR,2003,May,695.87,
FKTR,2003,Jun,720,
FKTR,2003,Jul,9.45,
FKTR,2003,Nov,657,
FKTR,2003,Dec,723,
FKTR,2004,Jan,611.75,
FKTR,2004,Feb,422.75,
FKTR,2004,Mar,494.75,
FKTR,2004,Apr,720,
FKTR,2004,May,744,
FKTR,2004,Jun,685.7,
FKTR,2004,Oct,688.25,
FKTR,2004,Nov,720,
FKTR,2004,Dec,709.84,
FKTR,2005,Jan,682.58,
FKTR,2005,Feb,672,
FKTR,2005,Mar,744,
FKTR,2005,Apr,720,
FKTR,2005,May,744,
FKTR,2005,Jun,561.75,
FKTR,2005,Oct,588.2,
FKTR,2005,Nov,720,
FKTR,2005,Dec,443.95,
FKTR,2006,Jan,207.17,
FKTR,2006,Feb,672,
FKTR,2006,Mar,284.67,
FKTR,2006,Apr,105.34,
FKTR,2006,May,564.08,
FKTR,2006,Jun,35.92,
FKTR,2006,Oct,202.75,
FKTR,2006,Nov,720,
FKTR,2006,Dec,513.5,
FKTR,2007,Jan,679.05,
FKTR,2007,Feb,672,
FKTR,2007,Mar,744,
FKTR,2007,Apr,720,
FKTR,2007,May,744,
FKTR,2007,Jun,276,
FKTR,2007,Oct,518.92,
FKTR,2007,Nov,720,
FKTR,2007,Dec,743.98,
FKTR,2008,Jan,646.67,
FKTR,2008,Feb,696,
FKTR,2008,Mar,744,
FKTR,2008,Apr,720,
FKTR,2008,May,744,
FKTR,2008,Jun,414.42,
FKTR,2008,Oct,406.35,
FKTR,2008,Nov,287.18,
FKTR,2008,Dec,709.85,
FKTR,2009,Jan,648.25,
FKTR,2009,Feb,638.65,
FKTR,2009,Mar,381.27,
FKTR,2009,Apr,562.62,
FKTR,2009,May,648.67,
FKTR,2009,Jun,720,
FKTR,2009,Jul,681.84,
FKTR,2009,Oct,430.92,
FKTR,2009,Nov,284.98,
FKTR,2009,Dec,351.38,
FKTR,2010,Jan,213.8,
FKTR,2010,Feb,255.87,
FKTR,2010,Mar,352.65,
FKTR,2010,Apr,344.24,
FKTR,2010,May,243.92,
FKTR,2010,Jun,351.1,
FKTR,2010,Jul,11.08,
FKTR,2010,Oct,293.34,
FKTR,2010,Nov,322.07,
FKTR,2010,Dec,459.9,
FKTR,2011,Jan,374.08,
FKTR,2011,Feb,360.37,
FKTR,2011,Mar,278,
FKTR,2011,Apr,220.17,
FKTR,2011,May,400.7,
FKTR,2011,Jun,432.65,
FKTR,2011,Jul,86.52,
FKTR,2011,Sep,94.84,
FKTR,2011,Oct,402.13,
FKTR,2011,Nov,362.82,
FKTR,2011,Dec,397.94,
FKTR,2012,Jan,368.15,
FKTR,2012,Feb,387.62,
FKTR,2012,Mar,455,
FKTR,2012,Apr,296.67,
FKTR,2012,May,439.8,
FKTR,2012,Jun,395.65,
FKTR,2012,Sep,73.45,
FKTR,2012,Oct,350.62,
FKTR,2012,Nov,366.6,
FKTR,2012,Dec,264.92,
FKTR,2013,Jan,352.75,
FKTR,2013,Feb,370.04,
FKTR,2013,Mar,403.85,
FKTR,2013,Apr,253.67,
FKTR,2013,May,345.94,
FKTR,2013,Jun,388.68,
FKTR,2013,Sep,105.18,
FKTR,2013,Oct,454.78,
FKTR,2013,Nov,324.37,
FKTR,2013,Dec,315.47,
FKTR,2014,Jan,383.94,
FKTR,2014,Feb,290.98,
FKTR,2014,Mar,354.22,
FKTR,2014,Apr,418.25,
FKTR,2014,May,398.88,
FKTR,2014,Jun,388.18,
FKTR,2014,Sep,386.78,
FKTR,2014,Oct,156.75,Trap not operated from mid-October through Novemeber due to overgrowth of water hyacinth
FKTR,2014,Dec,332.47,
FKTR,2015,Jan,352.67,
