MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,540,Melosira cf. varians,Diatom,Melosira,varians,,1,1,20.4,i,BSA.12-01,AB,High detritus.,cylinder,2707.74,,,,,,,,,
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,48.2,i,BSA.12-01,AB,High detritus.,elliptic prism,1036.50,,,,,,,,,
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,2057,cf. Chlamydonephris sp.,Soft Body,Chlamydonephris,sp.,,1,1,9.3,i,BSA.12-01,AB,High detritus.,sphere,212.84,,,,,,,,,
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,4,i,BSA.12-01,AB,High detritus.,sphere,31.06,,,,,,,,,
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,1842,Plagioselmis sp.,Soft Body,Plagioselmis,sp.,,9,9,9.3,i,BSA.12-01,AB,High detritus.,cone + half sphere,126.92,,,,,,,,,
Phyto,12/4/2020,10:10,EZ2-SJR,60.0,2,3.33%,0.0683,314.159,2.732,40,57.50,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,386,776,0.8,c,BSA.12-01,AB,High detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1877,Actinocyclus sp.,Diatom,Actinocyclus,sp.,,1,1,7.4,i,BSA.12-02,AB,High amounts of debris.,cylinder,79.57,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,464,Gomphonema sp.,Diatom,Gomphonema,sp.,,1,1,18.5,i,BSA.12-02,AB,High amounts of debris.,gomphonemoid,475.03,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,631,cf. Navicula sp.,Diatom,Navicula,sp.,,1,1,42.6,i,BSA.12-02,AB,Fragment. High amounts of debris.,elliptic prism,5756.44,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,4,4,4,i,BSA.12-02,AB,High amounts of debris.,sphere,31.06,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1733,Plagioselmis cf. prolonga,Soft Body,Plagioselmis,prolonga,,1,1,8,i,BSA.12-02,AB,High amounts of debris.,cone + half sphere,201.06,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1842,Plagioselmis sp.,Soft Body,Plagioselmis,sp.,,6,6,7.4,i,BSA.12-02,AB,High amounts of debris.,cone + half sphere,112.59,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,385,767,0.8,c,BSA.12-02,AB,High amounts of debris.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1756,Eucapsis sp.,Soft Body,Eucapsis,sp.,,11,70,3.7,c,BSA.12-02,AB,High amounts of debris.,sphere,24.43,,,,,,,,,
Phyto,12/4/2020,12:20,D28A,61.0,3,4.92%,0.0683,314.159,2.8003,41,37.40,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,5,5,13,i,BSA.12-02,AB,High amounts of debris.,cylinder,24.97,,,,,,,,,
Phyto,12/4/2020,11:40,D19,59.0,3,5.08%,0.0683,314.159,2.3222,34,45.10,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,2,2,19,i,BSA.12-03,AB,Lots of debris.,elliptic prism,760.29,,,,,,,,,
Phyto,12/4/2020,11:40,D19,59.0,3,5.08%,0.0683,314.159,2.3222,34,45.10,397,cf. Fragilaria sp.,Diatom,Fragilaria,sp.,,1,1,16.7,i,BSA.12-03,AB,Lots of debris.,elliptic prism,92.21,,,,,,,,,
Phyto,12/4/2020,11:40,D19,59.0,3,5.08%,0.0683,314.159,2.3222,34,45.10,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,4,i,BSA.12-03,AB,Lots of debris.,sphere,33.51,,,,,,,,,
Phyto,12/4/2020,11:40,D19,59.0,3,5.08%,0.0683,314.159,2.3222,34,45.10,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,11.6,i,BSA.12-03,AB,Lots of debris.,prolate spheroid,332.60,,,,,,,,,
