MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,16.8,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,cylinder,413.79,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,2,2,11.2,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cylinder,364.52,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,304,Encyonema minutum,Diatom,Encyonema,minutum,,1,1,18.7,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cymbelloid,129.17,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,4,4,11.2,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,box,182.26,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,1,1,11.2,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,cylinder,551.71,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,976,Synedra ulna,Diatom,Synedra,ulna,,1,1,67.3,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,box,1095.20,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,2,2,5.6,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,prolate spheroid,91.95,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,9.3,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cone + half sphere,337.38,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,390,815,0.85,c,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,sphere,0.38,0.27,0.27,0.38,0.27,0.38,0.38,0.27,0.38,0.27,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,3,27,0.8,f,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cylinder,0.40,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,9.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,elliptic prism,51.35,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,29,29,9.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,cylinder,380.40,,,,,,,,,,
