MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,7/15/2019,11:15,D41A,64.0,0.5,0.78%,0.0697,314.159,0.3485,5,1802.92,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,14.2,i,BSA.07-01,BB,High sediment and detritus.,elliptic prism,115.54,,,,,,,,,
Phyto,7/15/2019,11:15,D41A,64.0,0.5,0.78%,0.0697,314.159,0.3485,5,1802.92,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,482,964,0.8,c,BSA.07-01,BB,High sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/15/2019,13:10,NZ002,63.0,1,1.59%,0.0697,314.159,0.7667,11,409.75,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,416,848,0.8,c,BSA.07-02,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/12/2019,13:10,NZ032,61.0,0.5,0.82%,0.0697,314.159,0.4182,6,1502.43,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,1.9,i,BSA.07-03,BB,,sphere,3.59,,,,,,,,,
Phyto,7/12/2019,13:10,NZ032,61.0,0.5,0.82%,0.0697,314.159,0.4182,6,1502.43,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,446,900,0.8,c,BSA.07-03,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/9/2019,11:25,D28A,59.0,4,6.78%,0.0697,314.159,0.5576,8,140.85,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,51,51,1.9,i,BSA.07-04,BB,,sphere,3.59,,,,,,,,,
Phyto,7/9/2019,11:25,D28A,59.0,4,6.78%,0.0697,314.159,0.5576,8,140.85,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,7.4,i,BSA.07-04,BB,,cone + half sphere,112.82,,,,,,,,,
Phyto,7/9/2019,11:25,D28A,59.0,4,6.78%,0.0697,314.159,0.5576,8,140.85,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,386,784,0.8,c,BSA.07-04,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,7/9/2019,11:25,D28A,59.0,4,6.78%,0.0697,314.159,0.5576,8,140.85,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,2,2,3.7,i,BSA.07-04,BB,,sphere,26.52,,,,,,,,,
Phyto,7/8/2019,9:45,NZ068,58.0,2,3.45%,0.0697,314.159,0.5576,8,281.71,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.07-05,BB,,elliptic prism,995.93,,,,,,,,,
Phyto,7/8/2019,9:45,NZ068,58.0,2,3.45%,0.0697,314.159,0.5576,8,281.71,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,6.8,i,BSA.07-05,BB,,cylinder,112.58,,,,,,,,,
Phyto,7/8/2019,9:45,NZ068,58.0,2,3.45%,0.0697,314.159,0.5576,8,281.71,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,i,BSA.07-05,BB,,prism on parallelogram,44.42,,,,,,,,,
Phyto,7/8/2019,9:45,NZ068,58.0,2,3.45%,0.0697,314.159,0.5576,8,281.71,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,2,2,4.6,i,BSA.07-05,BB,,cylinder + 2 half spheres,28.32,,,,,,,,,
