MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,5/14/2019,12:05,D6,61.0,0.5,0.82%,0.0697,314.159,0.4879,7,1287.80,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,1.9,i,BSA.05-01,BB,,sphere,3.59,,,,,,,,,
Phyto,5/14/2019,12:05,D6,61.0,0.5,0.82%,0.0697,314.159,0.4879,7,1287.80,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,810,0.8,c,BSA.05-01,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/14/2019,13:00,EZ6,62.0,0.5,0.81%,0.0697,314.159,0.3485,5,1802.92,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,12,12,2.4,i,BSA.05-02,BB,,sphere,4.85,,,,,,,,,
Phyto,5/14/2019,13:00,EZ6,62.0,0.5,0.81%,0.0697,314.159,0.3485,5,1802.92,1135,Monoraphidium convolutum,Soft Body,Monoraphidium,convolutum,,1,1,6.5,i,BSA.05-02,BB,,2 cones,12.29,,,,,,,,,
Phyto,5/14/2019,13:00,EZ6,62.0,0.5,0.81%,0.0697,314.159,0.3485,5,1802.92,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,419,858,0.8,c,BSA.05-02,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/13/2019,10:30,D26,62.5,3,4.80%,0.0697,314.159,0.7667,11,136.58,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,50,i,BSA.05-03,BB,,prism on parallelogram,104.50,,,,,,,,,
Phyto,5/13/2019,10:30,D26,62.5,3,4.80%,0.0697,314.159,0.7667,11,136.58,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,14,14,1.9,i,BSA.05-03,BB,,sphere,3.59,,,,,,,,,
Phyto,5/13/2019,10:30,D26,62.5,3,4.80%,0.0697,314.159,0.7667,11,136.58,1248,cf. Sphaerocystis sp.,Soft Body,Sphaerocystis,sp.,,1,1,3.7,i,BSA.05-03,BB,,sphere,26.52,,,,,,,,,
Phyto,5/13/2019,10:30,D26,62.5,3,4.80%,0.0697,314.159,0.7667,11,136.58,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,389,784,0.8,c,BSA.05-03,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/13/2019,9:40,D16,56.0,1,1.79%,0.0697,314.159,0.697,10,450.73,397,cf. Fragilaria sp.,Diatom,Fragilaria,sp.,,2,2,16.7,i,BSA.05-04,BB,Fragment.,elliptic prism,223.24,,,,,,,,,
Phyto,5/13/2019,9:40,D16,56.0,1,1.79%,0.0697,314.159,0.697,10,450.73,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,5.6,i,BSA.05-04,BB,,cylinder + 2 half spheres,34.48,,,,,,,,,
Phyto,5/13/2019,9:40,D16,56.0,1,1.79%,0.0697,314.159,0.697,10,450.73,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,22,22,1.9,i,BSA.05-04,BB,,sphere,3.59,,,,,,,,,
Phyto,5/13/2019,9:40,D16,56.0,1,1.79%,0.0697,314.159,0.697,10,450.73,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,1,1,10.2,i,BSA.05-04,BB,,cone + half sphere,430.35,,,,,,,,,
Phyto,5/13/2019,9:40,D16,56.0,1,1.79%,0.0697,314.159,0.697,10,450.73,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,403,824,0.8,c,BSA.05-04,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/10/2016,9:30,D28A,59.0,2,3.39%,0.0697,314.159,0.7667,11,204.88,540,Melosira varians,Diatom,Melosira,varians,,2,2,31.5,i,BSA.05-05,BB,,cylinder,8467.27,,,,,,,,,
Phyto,5/10/2016,9:30,D28A,59.0,2,3.39%,0.0697,314.159,0.7667,11,204.88,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,28,28,1.9,i,BSA.05-05,BB,,sphere,3.59,,,,,,,,,
Phyto,5/10/2016,9:30,D28A,59.0,2,3.39%,0.0697,314.159,0.7667,11,204.88,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,i,BSA.05-05,BB,,cone + half sphere,378.14,,,,,,,,,
Phyto,5/10/2016,9:30,D28A,59.0,2,3.39%,0.0697,314.159,0.7667,11,204.88,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,6.5,i,BSA.05-05,BB,,cone + half sphere,112.82,,,,,,,,,
Phyto,5/10/2016,9:30,D28A,59.0,2,3.39%,0.0697,314.159,0.7667,11,204.88,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,394,794,0.8,c,BSA.05-05,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/16/2019,10:45,D41,62.0,3,4.84%,0.0697,314.159,0.3485,5,300.49,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,i,BSA.05-06,BB,,cylinder,68.96,,,,,,,,,
Phyto,5/16/2019,10:45,D41,62.0,3,4.84%,0.0697,314.159,0.3485,5,300.49,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,2.4,i,BSA.05-06,BB,,sphere,4.19,,,,,,,,,
Phyto,5/16/2019,10:45,D41,62.0,3,4.84%,0.0697,314.159,0.3485,5,300.49,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,453,942,0.8,c,BSA.05-06,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,12,i,BSA.05-07,CT,,elliptic prism,160.41,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,86,Asterionella formosa,Diatom,Asterionella,formosa,,1,1,59.3,i,BSA.05-07,CT,,box + 2 cylinders,489.93,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,5.6,i,BSA.05-07,CT,,cylinder,91.13,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,1,1,9.3,i,BSA.05-07,CT,,cylinder + 2 half spheres,57.26,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,2.8,i,BSA.05-07,CT,,sphere,6.37,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,1,1,4.6,i,BSA.05-07,CT,,2 cones,8.69,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,1138,Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,8.3,i,BSA.05-07,CT,,2 cones,3.52,,,,,,,,,
Phyto,5/8/2019,7:30,C3A,61.0,2,3.28%,0.0683,314.159,1.0245,15,153.32,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,7.4,i,BSA.05-07,CT,,cone + half sphere,159.13,,,,,,,,,
