MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,2/6/2017,12:30,D19,58,0.5,0.86%,0.0697,314.159,0.348732495,5,1801.72,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,427,902,0.65,c,BSA.02-01,DK,Low sediment. Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/6/2017,12:30,D19,58,0.5,0.86%,0.0697,314.159,0.348732495,5,1801.72,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,46,152,2.8,c,BSA.02-01,DK,Low sediment. Low detritus.,sphere,11.49,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,1,1,13,i,BSA.02-02,DK,Fragment. High sediment. Medium detitus.,cylinder,703.38,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,11.1,i,BSA.02-02,DK,Girdle view. High sediment. Medium detritus. ,prism on parallelogram,39.02,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,50,50,2.8,i,BSA.02-02,DK,High sediment. Medium detritus.,sphere,11.49,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,4,4,2.8,i,BSA.02-02,DK,High sediment. Medium detritus.,cylinder + 2 cones,2.07,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,12,12,4.6,i,BSA.02-02,DK,High sediment. Medium detritus.,prolate spheroid,18.88,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,1008,2090,0.65,c,BSA.02-02,DK,High sediment. Medium detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1464,cf. Lyngbya sp.,Soft Body,Lyngbya,sp.,,1,34,3.7,f,BSA.02-02,DK,High sediment. Medium detritus.,cylinder,20.43,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,5,49,2.8,f,BSA.02-02,DK,High sediment. Medium detritus.,cylinder,7.94,,,,,,,,,
Phyto,2/2/2017,11:15,C9,62,3,4.84%,0.0697,314.159,0.348732495,5,300.29,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,68,84,3.7,c,BSA.02-02,DK,High sediment. Medium detritus.,sphere,26.52,,,,,,,,,
Phyto,2/6/2017,11:20,D12,62,0.5,0.81%,0.0697,314.159,0.348732495,5,1801.72,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,9,9,2.8,i,BSA.02-03,DK,Low sediment. Low detritus.,sphere,11.49,,,,,,,,,
Phyto,2/6/2017,11:20,D12,62,0.5,0.81%,0.0697,314.159,0.348732495,5,1801.72,1134,Monoraphidium contortum,Soft Body,Monoraphidium,contortum,,1,1,27.8,i,BSA.02-03,DK,Low sediment. Low detritus.,2 cones,52.55,,,,,,,,,
Phyto,2/6/2017,11:20,D12,62,0.5,0.81%,0.0697,314.159,0.348732495,5,1801.72,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,430,904,0.65,c,BSA.02-03,DK,Low sediment. Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/6/2017,11:20,D12,62,0.5,0.81%,0.0697,314.159,0.348732495,5,1801.72,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,38,42,3.7,i,BSA.02-03,DK,Low sediment. Low detritus.,sphere,26.52,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,i,BSA.02-04,DK,Medium sediment. Low detritus.,elliptic prism,416.57,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,927,Staurosirella pinnata,Diatom,Staurosirella,pinnata,,1,1,12,i,BSA.02-04,DK,Medium sediment. Low detritus.,elliptic prism,97.64,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,29,29,2.8,i,BSA.02-04,DK,Medium sediment. Low detritus.,sphere,11.49,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1657,Teleaulax sp.,Soft Body,Teleaulax,sp.,,1,1,11.1,i,BSA.02-04,DK,Medium sediment. Low detritus.,cone + half sphere,538.68,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,765,1593,0.65,c,BSA.02-04,DK,Medium sediment. Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,2,23,1.9,f,BSA.02-04,DK,Medium sediment. Low detritus.,cylinder,1.21,,,,,,,,,
Phyto,2/6/2017,13:25,D28A,62,2,3.23%,0.0697,314.159,0.348732495,5,450.43,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,65,82,3.7,c,BSA.02-04,DK,Medium sediment. Low detritus.,sphere,26.52,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,458,Gomphonema parvulum,Diatom,Gomphonema,parvulum,,1,1,9.3,i,BSA.02-05,DK,High sediment. Medium detritus.,gomphonemoid,199.46,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,19.4,i,BSA.02-05,DK,Obscured by detritus. High sediment. Medium detritus.,elliptic prism,315.70,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,67,67,3.7,i,BSA.02-05,DK,High sediment. Medium detritus.,sphere,26.52,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,1364,cf. Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,16,16,7.4,i,BSA.02-05,DK,High sediment. Medium detritus.,cone + half sphere,172.03,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,844,1720,0.65,c,BSA.02-05,DK,High sediment. Medium detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,4,57,1.9,f,BSA.02-05,DK,High sediment. Medium detritus.,cylinder,1.21,,,,,,,,,
Phyto,2/7/2017,10:55,D26,59,1,1.69%,0.0697,314.159,0.348732495,5,900.86,1526,cf. Synechococcus sp.,Soft Body,Synechococcus,sp.,,118,129,3.34,i,BSA.02-05,DK,High sediment. Medium detritus.,sphere,50.96,26.52,2.65E+01,26.52,26.52,26.52,11.49,11.49,11.49,3.59
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,57,Adlafia sp.,Diatom,Adlafia,sp.,,1,1,6.5,i,BSA.02-06,DK,High sediment. Moderate detritus.,elliptic prism,35.89,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,190,Cyclotella spp.,Diatom,Cyclotella,sp.,,9,9,4.6,i,BSA.02-06,DK,High sediment. Moderate detritus.,cylinder,46.53,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,373,Fragilaria brevistriata,Diatom,Fragilaria,brevistriata,,4,4,18.5,c,BSA.02-06,DK,High sediment. Moderate detritus.,elliptic prism,280.72,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,713,Nitzschia inconspicua,Diatom,Nitzschia,inconspicua,,1,1,13,i,BSA.02-06,DK,High sediment. Moderate detritus.,prism on parallelogram,67.34,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,956,Surirella sp.,Diatom,Surirella,sp.,,1,1,77.8,i,BSA.02-06,DK,Obscured by detritus. High sediment. Moderate detritus.,elliptic prism,53508.71,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,39,39,2.8,i,BSA.02-06,DK,High sediment. Moderate detritus.,sphere,11.49,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,6,6,5.6,i,BSA.02-06,DK,High sediment. Moderate detritus.,cylinder + 2 cones,3.85,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,10,10,5.6,i,BSA.02-06,DK,High sediment. Moderate detritus.,cone + half sphere,76.35,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,912,1880,0.65,c,BSA.02-06,DK,High sediment. Moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1759,cf. Glaucospira sp.,Soft Body,Glaucospira,sp.,,1,9,0.9,f,BSA.02-06,DK,High sediment. Moderate detritus.,cylinder,0.18,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1709,Planktolyngbya sp.,Soft Body,Planktolyngbya,sp.,,3,42,2.8,f,BSA.02-06,DK,High sediment. Moderate detritus.,cylinder,1.78,,,,,,,,,
Phyto,2/2/2017,12:45,C10A,61,2,3.28%,0.0697,314.159,0.348732495,5,450.43,1526,Synechococcus sp.,Soft Body,Synechococcus,sp.,,93,111,4.6,i,BSA.02-06,DK,High sediment. Moderate detritus.,sphere,50.96,,,,,,,,,
Phyto,2/3/17,10:30,C3A,61,1,1.64%,0.0697,314.159,0.348732495,5,900.86,67,Amphora delicatissima,Diatom,Amphora,delicatissima,,1,1,8.3,i,BSA.02-07,DK,Moderate sediment. Low detritus.,cymbelloid,28.67,,,,,,,,,
Phyto,2/3/17,10:30,C3A,61,1,1.64%,0.0697,314.159,0.348732495,5,900.86,912,Staurosira construens var. binodis,Diatom,Staurosira,construens var. binodis,,1,1,14.8,i,BSA.02-07,DK,Moderate sediment. Low detritus.,elliptic prism,347.55,,,,,,,,,
Phyto,2/3/17,10:30,C3A,61,1,1.64%,0.0697,314.159,0.348732495,5,900.86,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,33,33,3.7,i,BSA.02-07,DK,Moderate sediment. Low detritus.,sphere,26.52,,,,,,,,,
Phyto,2/3/17,10:30,C3A,61,1,1.64%,0.0697,314.159,0.348732495,5,900.86,1733,cf. Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,6,6,6.5,i,BSA.02-07,DK,Moderate sediment. Low detritus.,cone + half sphere,102.87,,,,,,,,,
Phyto,2/3/17,10:30,C3A,61,1,1.64%,0.0697,314.159,0.348732495,5,900.86,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,696,1423,0.65,c,BSA.02-07,DK,Moderate sediment. Low detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.07,0.07,0.07,0.07,0.07
