MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,1,9.3,i,BSA.09-01,KS,Fragment. Moderate sediment and detritus.,box,192.7,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,3,3,15,i,BSA.09-01,KS,Moderate sediment and detritus.,prism on parallelogram,52.73,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1039,Chlorella vulgaris,Soft Body,Chlorella,vulgaris,,1,1,3.7,i,BSA.09-01,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1357,cf. Hemiselmis sp.,Soft Body,Hemiselmis,sp.,,1,1,6.5,i,BSA.09-01,KS,Moderate sediment and detritus.,prolate spheroid,46.59,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1415,Chroococcus dispersus,Soft Body,Chroococcus,dispersus,,1,1,5.6,i,BSA.09-01,KS,Moderate sediment and detritus.,sphere,91.95,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,396,1101,0.85,c,BSA.09-01,KS,Moderate sediment and detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1420,Chroococcus minimus,Soft Body,Chroococcus,minimus,,1,4,1.9,c,BSA.09-01,KS,Moderate sediment and detritus.,sphere,3.59,,,,,,,,,
Phyto,9/15/2014,9:15,EZ6SJR,63,3,4.76%,0.0697,314.159,0.418478994,6,250.24,1681,Chroococcus planctonicus,Soft Body,Chroococcus,planctonicus,,7,9,3.7,c,BSA.09-01,KS,Moderate sediment and detritus.,sphere,26.52,,,,,,,,,
Phyto,9/22/2014,13:55,D6,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,849,Pleurosigma salinarum,Diatom,Pleurosigma,salinarum,,1,1,136.4,i,BSA.09-02,KS,Low sediment and moderate detritus.,prism on parallelogram,9513.9,,,,,,,,,
Phyto,9/22/2014,13:55,D6,65,3,4.62%,0.0697,314.159,0.69746499,10,150.14,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,406,1460,0.85,c,BSA.09-02,KS,Low sediment and moderate detritus.,sphere,0.27,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.38
