MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,13,i,BSA.10-01,KS,Fragment.,cylinder,320.19,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,14.8,i,BSA.10-01,KS,,elliptic prism,302.69,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,3,3,7.4,i,BSA.10-01,KS,,cylinder,197.84,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,383,Fragilaria crotonensis,Diatom,Fragilaria,crotonensis,,1,1,109,i,BSA.10-01,KS,,elliptic prism,898.89,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,20.4,i,BSA.10-01,KS,,prism on parallelogram,57.12,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,1874,Seminavis sp.,Diatom,Seminavis,sp.,,1,1,26.5,i,BSA.10-01,KS,,cymbelloid,212.47,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,4.4,i,BSA.10-01,KS,,cylinder,56.26,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,2.8,i,BSA.10-01,KS,,sphere,11.49,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,1352,Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,2,2,15,i,BSA.10-01,KS,,prolate spheroid,430.08,,,,,,,,,
Phyto,10/10/2017,10:20,D28A,60.5,5,8.26%,0.0697,314.159,0.557971992,8,112.61,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,4,4,9.3,i,BSA.10-01,KS,,cone + half sphere,335.12,,,,,,,,,
