MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,46,cf. Achnanthidium sp.,Diatom,Achnanthidium,sp.,,3,3,12,i,BSA.06-01,LA,,elliptic prism,79.15,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,i,BSA.06-01,LA,,elliptic prism,806.41,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,3,3,14.8,i,BSA.06-01,LA,,elliptic prism,196.11,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,182,Cyclotella meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,10.2,i,BSA.06-01,LA,,cylinder,678.22,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,11.1,i,BSA.06-01,LA,,cylinder,716.09,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,272,Diatoma moniliformis,Diatom,Diatoma,moniliformis,,2,2,27.8,i,BSA.06-01,LA,,elliptic prism,593.58,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,31.5,i,BSA.06-01,LA,,cymbelloid,575.01,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,563,Navicula cf. cincta,Diatom,Navicula,cincta,,1,1,18,i,BSA.06-01,LA,,elliptic prism,216.3,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,40.7,i,BSA.06-01,LA,,elliptic prism,579.54,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,632,cf. Navicula sp.,Diatom,Navicula,sp.,,2,2,14.8,i,BSA.06-01,LA,,elliptic prism,139.78,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,720,Nitzschia linearis,Diatom,Nitzschia,linearis,,1,1,68.5,i,BSA.06-01,LA,,prism on parallelogram,805.56,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,1,1,18.5,i,BSA.06-01,LA,,box,232.48,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,870,Pseudostaurosira sp.,Diatom,Pseudostaurosira,sp.,,2,2,18.5,i,BSA.06-01,LA,,box,310.23,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,911,Staurosira construens,Diatom,Staurosira,construens,,3,3,14,i,BSA.06-01,LA,,elliptic prism,222.66,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,5.6,i,BSA.06-01,LA,,sphere,47.71,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1940,cf. Nautococcus sp.,Soft Body,Nautococcus,sp.,,1,1,14.8,i,BSA.06-01,LA,,prolate spheroid,954.79,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,11.1,i,BSA.06-01,LA,,cone + half sphere,411.29,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,378,756,0.8,c,BSA.06-01,LA,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1756,cf. Eucapsis sp.,Soft Body,Eucapsis,sp.,,1,1,1.8,i,BSA.06-01,LA,,sphere,3.05,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1471,Merismopedia tenuissima,Soft Body,Merismopedia,tenuissima,,1,16,2,c,BSA.06-01,LA,,cube,8,,,,,,,,,
Phyto,6/11/2020,9:00,C3A,57,3,5.26%,0.0683,314.159,2.732,40,38.33,1941,Peridiniopsis cunningtonii,Soft Body,Peridiniopsis,cunningtonii,,1,1,31.5,i,BSA.06-01,LA,,ellipsoid,12746.72,,,,,,,,,
