z,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,40,Achnanthidium exiguum,Diatom,Achnanthidium,exiguum,,2,2,11.1,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,180.64,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,11.1,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,61.29,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,14.8,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,81.72,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,14.8,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,318.26,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,1,1,9.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,77.72,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,3,3,5.6,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cylinder,46.80,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,412,cf. Geissleria decussis,Diatom,Geissleria,decussis,,2,2,24.1,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,455.22,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,559,Navicula capitatoradiata,Diatom,Navicula,capitatoradiata,,2,2,38.9,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,1051.29,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,632,Navicula spp.,Diatom,Navicula,spp.,,8,8,14.8,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,240.85,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,632,Navicula spp.,Diatom,Navicula,spp.,,5,5,22.2,i,BSA.10-01,KS,Fragment. Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,477.39,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,651,Navicula viridula,Diatom,Navicula,viridula,,1,1,38.9,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,1591.15,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,3,3,35.2,i,BSA.10-01,KS,Degraded. Low sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,123.73,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,845,Planothidium rostratum,Diatom,Planothidium,rostratum,,1,1,13,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,245.55,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,846,Planothidium sp.,Diatom,Planothidium,sp.,,2,2,9.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,77.72,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,850,Pleurosigma sp.,Diatom,Pleurosigma,sp.,,1,1,157.4,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,prism on parallelogram,6522.66,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,858,cf. Psammothidium sp.,Diatom,Psammothidium,sp.,,3,3,9.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,77.72,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,890,Sellaphora pupula,Diatom,Sellaphora,pupula,,2,2,20.4,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,box,948.19,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,915,Staurosira construens var. venter,Diatom,Staurosira,construens var. venter,,1,1,6.5,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,elliptic prism,160.10,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,5,5,11.1,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cylinder,541.91,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,976,Synedra cf. ulna,Diatom,Synedra,ulna,,7,7,5.6,i,BSA.10-01,KS,Fragment. Low sediment and moderate detritus. Many broken diatoms.,box,60.21,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,987,cf. Thalassiosira sp.,Diatom,Thalassiosira,sp.,,1,1,33.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cylinder,6444.80,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1031,cf. Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,9.3,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,sphere,380.40,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,12,12,3.7,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,sphere,26.52,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1704,Monoraphidium minutum,Soft Body,Monoraphidium,minutum,,2,2,5.6,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,2 cones,10.59,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1235,Scenedesmus sp.,Soft Body,Scenedesmus,sp.,,1,2,3.7,c,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,6.99,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1306,Chrysococcus spp.,Soft Body,Chrysococcus,spp.,,3,3,5.6,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,prolate spheroid,54.22,,,,,,,,,
Phyto,10/16/2015,10:00,C10A,63,20,31.75%,0.0697,314.159,0.767211489,11,20.47,1791,Chroomonas nordstedtii,Soft Body,Chroomonas,nordstedtii,,4,4,11,i,BSA.10-01,KS,Low sediment and moderate detritus. Many broken diatoms.,cone + half sphere,554.36,,,,,,,,,
