MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,7.4,i,BSA.08-01,KS,,elliptic prism,79.57,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.08-01,KS,,cylinder,91.13,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,20.4,i,BSA.08-01,KS,,cymbelloid,186.22,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,26,i,BSA.08-01,KS,,prism on parallelogram,269.36,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,3,3,7.4,i,BSA.08-01,KS,Fragment.,elliptic prism,98.92,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,7,7,2,i,BSA.08-01,KS,,sphere,4.19,,,,,,,,,
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,881,0.8,c,BSA.08-01,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,8/2/2018,9:00,C3A-Hood,62.0,1,1.61%,0.0697,314.159,1.464676479,21,214.49,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,8,3,f,BSA.08-01,KS,,cylinder,2.36,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,182,Cyclotella cf. meneghiniana,Diatom,Cyclotella,meneghiniana,,1,1,11.1,i,BSA.08-02,KS,,cylinder,541.91,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,5.6,i,BSA.08-02,KS,,cylinder,91.13,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,26,i,BSA.08-02,KS,,prism on parallelogram,177.97,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,895,cf. Skeletonema sp.,Diatom,Skeletonema,sp.,,3,3,9.3,i,BSA.08-02,KS,,cylinder + 2 half spheres,99.99,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1005,Ulnaria sp.,Diatom,Ulnaria,sp.,,1,1,7.4,i,BSA.08-02,KS,Fragment. ,elliptic prism,120.42,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,2.2,i,BSA.08-02,KS,,sphere,5.58,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,1,1,9.3,i,BSA.08-02,KS,,cylinder + 2 cones,32.36,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1138,cf. Monoraphidium sp.,Soft Body,Monoraphidium,sp.,,1,1,7.4,i,BSA.08-02,KS,,2 cones,15.50,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1084,cf. Mucidosphaerium sp.,Soft Body,Mucidosphaerium,sp.,,1,4,5.6,c,BSA.08-02,KS,,sphere,40.14,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1236,Scenedesmus spp.,Soft Body,Scenedesmus,spp.,,2,6,11.1,c,BSA.08-02,KS,,prolate spheroid,122.98,,,,,,,,,
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,369,751,0.8,c,BSA.08-02,KS,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,8/1/2018,11:00,C10A,62.0,1,1.61%,0.0697,314.159,0.488225493,7,643.47,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,31,44,4.6,c,BSA.08-02,KS,,sphere,36.09,,,,,,,,,
