MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance (# of Natural Units),Total Number of Cells,GALD 1,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10
Phyto,12/16/2021,12:10,NZ002,64,2,3.13%,0.0683,314.159,3.415,50,46.00,161,cf. Craticula sp.,Diatom,Craticula,sp.,,1,1,18,i,BSA.12-01,AB,Low sediment.,elliptic prism,316.67,,,,,,,,,
Phyto,12/16/2021,12:10,NZ002,64,2,3.13%,0.0683,314.159,3.415,50,46.00,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,17.3,i,BSA.12-01,AB,Low sediment.,cylinder,2186.07,,,,,,,,,
Phyto,12/16/2021,12:10,NZ002,64,2,3.13%,0.0683,314.159,3.415,50,46.00,481,Gyrosigma sp.,Diatom,Gyrosigma,sp.,,1,1,90.7,i,BSA.12-01,AB,Low sediment.,prism on parallelogram,861.65,,,,,,,,,
Phyto,12/16/2021,12:10,NZ002,64,2,3.13%,0.0683,314.159,3.415,50,46.00,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,14,i,BSA.12-01,AB,Low sediment.,prism on parallelogram,84.00,,,,,,,,,
Phyto,12/16/2021,12:10,NZ002,64,2,3.13%,0.0683,314.159,3.415,50,46.00,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,250,500,0.8,c,BSA.12-01,AB,Low sediment.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,12/5/2021,12:00,NZS42,63,1,1.59%,0.0683,314.159,1.8441,27,170.36,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,10.4,i,BSA.12-02,AB,Low sediment and detritus.,cylinder,475.71,,,,,,,,,
Phyto,12/5/2021,12:00,NZS42,63,1,1.59%,0.0683,314.159,1.8441,27,170.36,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,13,i,BSA.12-02,AB,Low sediment and detritus.,prism on parallelogram,45.50,,,,,,,,,
Phyto,12/5/2021,12:00,NZS42,63,1,1.59%,0.0683,314.159,1.8441,27,170.36,1761,Drepanochloris nannoselene,Soft Body,Drepanochloris,nannoselene,,2,2,3.5,i,BSA.12-02,AB,Low sediment and detritus.,cylinder + 2 cones,7.33,,,,,,,,,
Phyto,12/5/2021,12:00,NZS42,63,1,1.59%,0.0683,314.159,1.8441,27,170.36,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,c,BSA.12-02,AB,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Phyto,12/9/2021,9:30,D12,60,1,1.67%,0.0683,314.159,1.7075,25,183.99,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,13,i,BSA.12-03,AB,Low sediment and detritus.,cone + half sphere,335.51,,,,,,,,,
