Response,Station,Parameter,Estimate,SE,t_value,p_value
log(Zooplankton),SHR,Intercept,7.364##,0.3196##,23.04##,< 0.001##
log(Zooplankton),SHR,DailyAvgNetFlow,-0.00008287##,0.00001712##,-4.841##,< 0.001##
log(Zooplankton),SHR,TotalApplStd,-0.04318##,0.009271##,-4.657##,< 0.001##
sqrt(Zooplankton),STTD,Intercept,13.76##,1.921##,7.165##,< 0.001##
sqrt(Zooplankton),STTD,DailyAvgNetFlow,0.02510##,0.005822##,4.311##,< 0.001##
sqrt(Zooplankton),STTD,TotalApplStd,-0.02126##,0.07423##,-0.2864##,0.778##
log(Water),SHR,Intercept,2.334##,0.5277##,4.423##,0.004455##
log(Water),SHR,DailyAvgNetFlow,0.0001632##,0.00002827##,5.772##,0.001181##
log(Water),SHR,TotalApplStd,0.04076##,0.01416##,2.878##,0.02815##
Water,STTD,Intercept,613.1##,121.5##,5.048##,0.007243##
Water,STTD,DailyAvgNetFlow,2.624##,0.2426##,10.82##,< 0.001##
Water,STTD,TotalApplStd,-4.915##,6.903##,-0.7121##,0.5157##
